""	"vco"	"cod"	"mod"	"war"	"st"	"slow"	"mod"	"high"	"xeno"	"oligo"	"beta"	"alpha"	"poly"	"pest"	"pebbles"	"gravel"	"sand-silt"	"mud"	"roots_litter"	"microph"	"macroph"	"tax.level"
"Chironomidae"	0.935420743639922	0.86105675146771	0.962818003913894	0.949119373776908	0.960861056751468	0.962818003913894	0.947162426614481	0.947162426614481	0.953033268101761	0.958904109589041	0.972602739726027	0.829745596868884	0.953033268101761	NA	NA	NA	NA	NA	NA	NA	NA	"family"
"Limoniidae"	0.677103718199609	0.688845401174168	0.720156555772994	0.649706457925636	0.49706457925636	0.851272015655577	0.980430528375734	0.737769080234834	0.0410958904109589	0.974559686888454	0.74559686888454	0.105675146771037	0.0587084148727984	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Simuliidae"	0.653620352250489	0.724070450097847	0.827788649706458	0.682974559686888	0.0450097847358121	0.704500978473581	0.925636007827789	0.720156555772994	0.941291585127201	0.88454011741683	0.933463796477495	0.949119373776908	0.076320939334638	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Oligochaeta"	0.724070450097847	0.731898238747554	0.882583170254403	0.673189823874755	0.87866927592955	0.410958904109589	0.829745596868884	0.405088062622309	0.328767123287671	0.11545988258317	0.522504892367906	0.904109589041096	0.720156555772994	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Baetisalpinus"	0.567514677103718	0.724070450097847	0.616438356164384	0.172211350293542	0.060665362035225	0.487279843444227	0.677103718199609	0.972602739726027	0.512720156555773	0.976516634050881	0.749510763209393	0.0410958904109589	0.0410958904109589	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Empididae"	0.594911937377691	0.675146771037182	0.714285714285714	0.825831702544031	0.0469667318982387	0.516634050880626	0.594911937377691	0.86692759295499	0.213307240704501	0.571428571428571	0.696673189823875	0.520547945205479	0.0430528375733855	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Baetisrhodani"	0.275929549902153	0.714285714285714	0.990215264187867	0.972602739726027	0.0430528375733855	0.604696673189824	0.968688845401174	0.581213307240704	0.0410958904109589	0.516634050880626	0.87279843444227	0.518590998043053	0.0469667318982387	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ceratopogonidae"	0.524461839530333	0.819960861056751	0.894324853228963	0.802348336594912	0.954990215264188	0.769080234833659	0.573385518590998	0.0489236790606654	0.140900195694716	0.649706457925636	0.790606653620352	0.450097847358121	0.694716242661448	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Psychodidae"	0.571428571428571	0.89041095890411	0.86692759295499	0.661448140900196	0.696673189823875	0.675146771037182	0.524461839530333	0.426614481409002	0.101761252446184	0.882583170254403	0.714285714285714	0.264187866927593	0.698630136986301	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elmidae"	0.0410958904109589	0.350293542074364	0.655577299412916	0.964774951076321	0.050880626223092	0.876712328767123	0.984344422700587	0.637964774951076	0.800391389432485	0.902152641878669	0.917808219178082	0.332681017612524	0.0410958904109589	NA	NA	NA	NA	NA	NA	NA	NA	NA
