Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Porifera																																											
SPONGILLIDAE																																											
Ephydatia fluviatilis																1																							10				
Ephydatia muelleri																1																							10				
Eunapius carteri																																											
Eunapius fragilis																1														3	6	1							10				
Heteromyenia baileyi															1																								10				
Heteromyenia ryderi																																											
Heteromyenia stepanowi																																											
Spongilla lacustris																				1																			10				
Trochospongilla horrida																1														3	7								10				
Coelenterata																																											
BOUGAINVILLIIDAE																																											
Bougainvillia britannica																																											
CLAVIDAE																																											
Cordylophora caspia																	1													3	7										10		
HYDRIDAE																																											
Hydra attenuata																1																									10		
Hydra braueri																																											
Hydra circumcincta															1																										10		
Hydra graysoni																																											
Hydra oligactis																				1										3	6	1									10		
Hydra oxycnida																																											
Hydra viridissima															1															3	6	1									5		5
Hydra vulgaris																														5	5												
Microhydra sowerbyi																1																									10		
OLINDIIDAE																																											
Craspedacusta sowerbyi																																											
PROTOHYDRIDAE																																											
Protohydra leuckarti																																											
Turbellaria																																											
BOTHRIOPLANIDAE																																											
Bothrioplana semperi																																											
CATENULIDAE																																											
Catenula lemnae															1																										10		
DALYELLIIDAE																																											
Castrella truncata																																											
Castrella vernalis																																											
Dalyellia scoparia																																											
Dalyellia viridis																																									10		
Gieysztoria diadema																																											
Gieysztoria expedita																																									10		
Gieysztoria triquetra																																									10		
Microdalyellia armigera																																											
Microdalyellia kupelwieseri																																											
Microdalyellia schmidti																																											
DENDROCOELIDAE																																											
Bdellocephala punctata															1																										10		
Dendrocoelum album																																											
Dendrocoelum carpathicum																																											
Dendrocoelum coecum																																											
Dendrocoelum lacteum																				1											7	3									10		
Dendrocoelum mrazeki																																											
Dendrocoelum romanodanubiale																																									10		
Neodendrocoelum maculatum																																									10		
Dugesiidae																													1	2	5	2											
Dugesia gonocephala																		1																							10		
Dugesia lugubris																1																									10		
Dugesia polychroa															1																										10		
Dugesia tigrina																1																									10		
MACROSTOMIDAE																																											
Macrostomum distinguendum																																									10		
Macrostomum hystricinum																																											
Macrostomum orthostylum																																									10		
Macrostomum rostratum																																									10		
MICROSTOMIDAE																																											
Microstomum lineare																1																									10		
Microstomum punctatum																																											
OTOMESOSTOMIDAE																																											
Otomesostoma auditivum																																											
PLANARIIDAE																																											
Crenobia alpina																			1																						10		
Fonticola bosniaca																																											
Fonticola dalmatica																																											
Fonticola macedonica																																											
Fonticola ochridana																																											
Fonticola olivacea																																											
Phagocata albissima																																											
Phagocata vitta																																											
Phagocata woodworthi																																											
Planaria torva																1																									10		
Polycelis felina																		1											9	1											10		
Polycelis hepta																																											
Polycelis nigra																1																									10		
Polycelis tenuis																1														1	9										10		
POLYCYSTIDAE																																											
Gyratrix hermaphroditus																																											
PRORHYNCHIDAE																																											
Prorhynchus stagnalis																				1																					10		
STENOSTOMIDAE																																											
Rhynchoscolex vejdovskyi																																											
Stenostomum constrictum																																									10		
Stenostomum leucops																				1																					10		
Stenostomum unicolor																																									10		
TYPHLOPLANIDAE																																											
Bothromesostoma personatum																																									10		
Castrada armata																																									10		
Mesocastrada fuhrmanni																																											
Mesostoma ehrenbergi															1																										10		
Mesostoma lingua																																									10		
Mesostoma tetragonum																																											
Olisthanella exigua																																											
Phaenocora unipunctata																																											
Rhynchomesostoma rostratum																																									10		
Nematomorpha																																											
GORDIIDAE																																											
Gordius aquaticus															1																											10	
Nemertini																																											
TETRASTEMMATIDAE																																											
Prostoma graecense																																											
Gastropoda																																											
ACROLOXIDAE																																											
Acroloxus lacustris															1															2	4	4		10									
ASSIMINEIDAE																																											
Assiminea grayana																				1														10									
BITHYNIIDAE																																											
Bithynia boissieri																																											
Bithynia cettinensis																																											
Bithynia helenica																																											
Bithynia leachii leachii																1														1	7	2		3				2	5				
Bithynia tentaculata																				1										2	4	4		3				2	5				
Bithynia transsilvanica																																											
BULIMINIDAE																																											
Chondrula tridens albolimbata																																											
ELLOBIIDAE																																											
ELLOBIINAE																																											
Carychium minimum																																											
Carychium tridentatum																																											
Leucophytia bidentata																																											
PYTHIINAE																																											
Myosotella myosotis																																											
HYDROBIIDAE																																											
AMNICOLINAE																																											
Bythinella austriaca austriaca																		1											8	2				10									
Bythinella austriaca conica																		1											8	2				10									
Bythinella badensis																																											
Bythinella bavarica																		1											8	2				10									
Bythinella compressa																		1																10									
Bythinella cylindrica																													9	1				10									
Bythinella dunkeri																		1												10				10									
Bythinella ferussina																																											
Bythinella hungarica																																											
Bythinella kapelana																																											
Bythinella magna																																											
Bythinella metarubra																																											
Bythinella michredzinski																																											
Bythinella opaca opaca																																											
Bythinella reyniesii																																											
Bythinella rufescens																																											
Bythinella schmidtii																																		10									
Bythinella seminulum																																											
Bythinella zyvionteki																																											
Marstoniopsis croatica																																											
Marstoniopsis scholtzi																1																		5				5					
BELGRANDIINAE																																											
Belgrandia conoidea																																											
Belgrandia torifera																																											
Belgrandiella aulaei																																											
Belgrandiella austriana																													8	2													
Belgrandiella boetersi																													8	2													
Belgrandiella croatica																																											
Belgrandiella fontinalis																																											
Belgrandiella fuchsi																													8	2													
Belgrandiella ganslmayri																													8	2													
Belgrandiella kreisslorum																																											
Belgrandiella krupensis																																											
Belgrandiella mimula																																											
Belgrandiella multiformis																													8	2													
Belgrandiella pageti																																											
Belgrandiella parreyssii																													8	2													
Belgrandiella pelerei																													8	2													
Belgrandiella saxatilis																																											
Belgrandiella styriaca																													8	2													
Belgrandiella wawrai																																											
Belgrandiella zermanica																																											
Litthabitella chilodia																																		10									
Orientalina curta curta																																											
Orientalina curta germari																																		10									
EMMERICIINAE																																											
Emmericia expansilabris																																											
Emmericia patula																		1																									
Emmericia ventricosa																																											
HORATIINAE																																											
Alzoniella hartwigschuetti																													8	2													
Alzoniella slovenica																																											
Avenionia brevis roberti																																											
Bythiospeum acicula																													9	1				10									
Bythiospeum cisterciensorum																													9	1													
Bythiospeum elseri																													9	1													
Bythiospeum excelsior																																											
Bythiospeum excessum																																											
Bythiospeum geyeri																													9	1													
Bythiospeum nocki																																											
Bythiospeum noricum																													9	1													
Bythiospeum pfeifferi																													9	1													
Bythiospeum quenstedti																		1																									
Bythiospeum reisalpense																													9	1													
Bythiospeum sandbergeri																																											
Bythiospeum tschapeki bormanni																													9	1													
Bythiospeum tschapeki tschapeki																													9	1													
Graziana adlitzensis																													8	2													
Graziana klagenfurtensis																													8	2													
Graziana lacheineri adriolitoralis																																											
Graziana lacheineri lacheineri																													8	2													
Graziana papukensis																																											
Graziana pupula																													8	2													
Graziana slavonica																																											
Hauffenia edlaueri																																											
Hauffenia erythropomatia																																											
Hauffenia jadertina jadertina																																											
Hauffenia jadertina sinjana																																											
Hauffenia kerschneri kerschneri																													9	1													
Hauffenia kerschneri loichiana																													9	1													
Hauffenia media																																											
Hauffenia plana																																											
Hauffenia tovunica																																											
Hauffenia wienerwaldensis																													9	1													
Iglica absoloni																																											
Iglica bagliviaeformis																																											
Iglica elongata																																											
Iglica gratulabunda																													9	1													
Iglica kleinzellensis																													9	1													
Iglica langhofferi																																											
Lobaunia danubialis																													9	1													
Sadleriana bavarica																		1																									
Sadleriana cavernosa																																											
Sadleriana fluminensis																																											
Sadleriana pannonica																																											
Sadleriana sadleriana sadleriana																																											
Sadleriana schmidtii																																											
Sadleriana supercarinata																																											
Sadleriana virescens																																											
HYDROBIINAE																																											
Hydrobia acuta																																											
Hydrobia mabilli																																											
Hydrobia neglecta																																											
Hydrobia stagnorum																																											
Hydrobia ulvae																																											
Hydrobia ventrosa																																											
Hydrobia vitrea																																											
Mercuria anatina																																											
Mercuria vindilica																																											
LITHOGLYPHINAE																																											
Lithoglyphus fuscus																																											
Lithoglyphus naticoides																	1														8	2		2				8					
Lithoglyphus prasinus																																											
TATEINAE																																											
Potamopyrgus antipodarum																				1											4	4	2	2			2	3					3
Pseudamnicola confusa																																											
Pseudamnicola conovula																																											
Pseudamnicola consociella																																											
Pseudamnicola macrostoma																																											
Pseudamnicola negropontina																																											
Pseudamnicola troglobia																																											
HYDROCENIDAE																																											
Hydrocena cattaroensis																																											
LYMNAEIDAE																																											
Galba truncatula																1													2	2	3	2	1	3			3	2					2
Lymnaea stagnalis																1																		4			4						2
Myxas glutinosa																1														3	5	2		10									
Omphiscola glabra															1																			10									
