Genus	Species0	Species	Species2	Family	Order
Mideopsis	crassipes	Mideopsis crassipes	Mideopsiscrassipes	Mideopsidae	Acari
Mideopsis	orbicularis	Mideopsis orbicularis	Mideopsisorbicularis	Mideopsidae	Acari
Mideopsis	willmanni	Mideopsis willmanni	Mideopsiswillmanni	Mideopsidae	Acari
Sperchon	clupeifer	Sperchon clupeifer	Sperchonclupeifer	Sperchonidae	Acari
Sperchon	compactilis	Sperchon compactilis	Sperchoncompactilis	Sperchonidae	Acari
Sperchon	denticulatus	Sperchon denticulatus	Sperchondenticulatus	Sperchonidae	Acari
Sperchon	glandulosus	Sperchon glandulosus	Sperchonglandulosus	Sperchonidae	Acari
Sperchon	hibernicus	Sperchon hibernicus	Sperchonhibernicus	Sperchonidae	Acari
Sperchon	longirostris	Sperchon longirostris	Sperchonlongirostris	Sperchonidae	Acari
Sperchon	longissimus	Sperchon longissimus	Sperchonlongissimus	Sperchonidae	Acari
Sperchon	setiger	Sperchon setiger	Sperchonsetiger	Sperchonidae	Acari
Sperchon	sp.	Sperchon sp.	Sperchonsp.	Sperchonidae	Acari
Sperchon	squamosus	Sperchon squamosus	Sperchonsquamosus	Sperchonidae	Acari
Sperchon	turgidus	Sperchon turgidus	Sperchonturgidus	Sperchonidae	Acari
Chelicorophium	curvispinum	Chelicorophium curvispinum	Chelicorophiumcurvispinum	Corophiidae	Amphipoda
Corophium	chelicorne	Corophium chelicorne	Corophiumchelicorne	Corophiidae	Amphipoda
Corophium	lacustre	Corophium lacustre	Corophiumlacustre	Corophiidae	Amphipoda
Corophium	maeoticum	Corophium maeoticum	Corophiummaeoticum	Corophiidae	Amphipoda
Corophium	mucronatum	Corophium mucronatum	Corophiummucronatum	Corophiidae	Amphipoda
Corophium	multisetosum	Corophium multisetosum	Corophiummultisetosum	Corophiidae	Amphipoda
Corophium	nobile	Corophium nobile	Corophiumnobile	Corophiidae	Amphipoda
Corophium	robustum	Corophium robustum	Corophiumrobustum	Corophiidae	Amphipoda
Corophium	sowinskyi	Corophium sowinskyi	Corophiumsowinskyi	Corophiidae	Amphipoda
Corophium	sp.	Corophium sp.	Corophiumsp.	Corophiidae	Amphipoda
Corophium	volutator	Corophium volutator	Corophiumvolutator	Corophiidae	Amphipoda
Crangonyx	chlebovnikovi	Crangonyx chlebovnikovi	Crangonyxchlebovnikovi	Crangonyctidae	Amphipoda
Crangonyx	islandicus	Crangonyx islandicus	Crangonyxislandicus	Crangonyctidae	Amphipoda
Crangonyx	paxi	Crangonyx paxi	Crangonyxpaxi	Crangonyctidae	Amphipoda
Crangonyx	pseudogracilis	Crangonyx pseudogracilis	Crangonyxpseudogracilis	Crangonyctidae	Amphipoda
Crangonyx	subterraneus	Crangonyx subterraneus	Crangonyxsubterraneus	Crangonyctidae	Amphipoda
Dikerogammarus	bispinosus	Dikerogammarus bispinosus	Dikerogammarusbispinosus	Gammaridae	Amphipoda
Dikerogammarus	haemobaphes	Dikerogammarus haemobaphes	Dikerogammarushaemobaphes	Gammaridae	Amphipoda
Dikerogammarus	sp.	Dikerogammarus sp.	Dikerogammarussp.	Gammaridae	Amphipoda
Dikerogammarus	spandli	Dikerogammarus spandli	Dikerogammarusspandli	Gammaridae	Amphipoda
Dikerogammarus	villosus	Dikerogammarus villosus	Dikerogammarusvillosus	Gammaridae	Amphipoda
Echinogammarus	acarinatus	Echinogammarus acarinatus	Echinogammarusacarinatus	Gammaridae	Amphipoda
Echinogammarus	adipatus	Echinogammarus adipatus	Echinogammarusadipatus	Gammaridae	Amphipoda
Echinogammarus	anisocheirus	Echinogammarus anisocheirus	Echinogammarusanisocheirus	Gammaridae	Amphipoda
Echinogammarus	apfelbecki	Echinogammarus apfelbecki	Echinogammarusapfelbecki	Gammaridae	Amphipoda
Echinogammarus	aquilifer	Echinogammarus aquilifer	Echinogammarusaquilifer	Gammaridae	Amphipoda
Echinogammarus	berilloni	Echinogammarus berilloni	Echinogammarusberilloni	Gammaridae	Amphipoda
Echinogammarus	calvus	Echinogammarus calvus	Echinogammaruscalvus	Gammaridae	Amphipoda
Echinogammarus	cari	Echinogammarus cari	Echinogammaruscari	Gammaridae	Amphipoda
Echinogammarus	cyrtus	Echinogammarus cyrtus	Echinogammaruscyrtus	Gammaridae	Amphipoda
Echinogammarus	dahli	Echinogammarus dahli	Echinogammarusdahli	Gammaridae	Amphipoda
Echinogammarus	echinosetosus	Echinogammarus echinosetosus	Echinogammarusechinosetosus	Gammaridae	Amphipoda
Echinogammarus	eisentrauti	Echinogammarus eisentrauti	Echinogammaruseisentrauti	Gammaridae	Amphipoda
Echinogammarus	feminatus	Echinogammarus feminatus	Echinogammarusfeminatus	Gammaridae	Amphipoda
Echinogammarus	foxi	Echinogammarus foxi	Echinogammarusfoxi	Gammaridae	Amphipoda
Echinogammarus	ischnus	Echinogammarus ischnus	Echinogammarusischnus	Gammaridae	Amphipoda
Echinogammarus	kerkuraios	Echinogammarus kerkuraios	Echinogammaruskerkuraios	Gammaridae	Amphipoda
Echinogammarus	klaptoczi	Echinogammarus klaptoczi	Echinogammarusklaptoczi	Gammaridae	Amphipoda
Echinogammarus	kretensis	Echinogammarus kretensis	Echinogammaruskretensis	Gammaridae	Amphipoda
Echinogammarus	lochites	Echinogammarus lochites	Echinogammaruslochites	Gammaridae	Amphipoda
Echinogammarus	longisetosus	Echinogammarus longisetosus	Echinogammaruslongisetosus	Gammaridae	Amphipoda
Echinogammarus	lusitanus	Echinogammarus lusitanus	Echinogammaruslusitanus	Gammaridae	Amphipoda
Echinogammarus	macrocarpus	Echinogammarus macrocarpus	Echinogammarusmacrocarpus	Gammaridae	Amphipoda
Echinogammarus	margalefi	Echinogammarus margalefi	Echinogammarusmargalefi	Gammaridae	Amphipoda
Echinogammarus	marinus	Echinogammarus marinus	Echinogammarusmarinus	Gammaridae	Amphipoda
Echinogammarus	meridionalis	Echinogammarus meridionalis	Echinogammarusmeridionalis	Gammaridae	Amphipoda
Echinogammarus	monomerus	Echinogammarus monomerus	Echinogammarusmonomerus	Gammaridae	Amphipoda
Echinogammarus	obtusidens	Echinogammarus obtusidens	Echinogammarusobtusidens	Gammaridae	Amphipoda
Echinogammarus	olivii	Echinogammarus olivii	Echinogammarusolivii	Gammaridae	Amphipoda
Echinogammarus	pacaudi	Echinogammarus pacaudi	Echinogammaruspacaudi	Gammaridae	Amphipoda
Echinogammarus	pinksteri	Echinogammarus pinksteri	Echinogammaruspinksteri	Gammaridae	Amphipoda
Echinogammarus	pirloti	Echinogammarus pirloti	Echinogammaruspirloti	Gammaridae	Amphipoda
Echinogammarus	placidus	Echinogammarus placidus	Echinogammarusplacidus	Gammaridae	Amphipoda
Echinogammarus	sp.	Echinogammarus sp.	Echinogammarussp.	Gammaridae	Amphipoda
Echinogammarus	stammeri	Echinogammarus stammeri	Echinogammarusstammeri	Gammaridae	Amphipoda
Echinogammarus	tibaldii	Echinogammarus tibaldii	Echinogammarustibaldii	Gammaridae	Amphipoda
Echinogammarus	trichiatus	Echinogammarus trichiatus	Echinogammarustrichiatus	Gammaridae	Amphipoda
Echinogammarus	veneris	Echinogammarus veneris	Echinogammarusveneris	Gammaridae	Amphipoda
Echinogammarus	warpachowskyi	Echinogammarus warpachowskyi	Echinogammaruswarpachowskyi	Gammaridae	Amphipoda
Gammarus	aequicauda	Gammarus aequicauda	Gammarusaequicauda	Gammaridae	Amphipoda
Gammarus	arduus	Gammarus arduus	Gammarusarduus	Gammaridae	Amphipoda
Gammarus	argaeus	Gammarus argaeus	Gammarusargaeus	Gammaridae	Amphipoda
Gammarus	balcanicus	Gammarus balcanicus	Gammarusbalcanicus	Gammaridae	Amphipoda
Gammarus	bosniacus	Gammarus bosniacus	Gammarusbosniacus	Gammaridae	Amphipoda
Gammarus	caparti	Gammarus caparti	Gammaruscaparti	Gammaridae	Amphipoda
Gammarus	chevreuxi	Gammarus chevreuxi	Gammaruschevreuxi	Gammaridae	Amphipoda
Gammarus	crenulatus	Gammarus crenulatus	Gammaruscrenulatus	Gammaridae	Amphipoda
Gammarus	crinicornis	Gammarus crinicornis	Gammaruscrinicornis	Gammaridae	Amphipoda
Gammarus	duebeni	Gammarus duebeni	Gammarusduebeni	Gammaridae	Amphipoda
Gammarus	dulensis	Gammarus dulensis	Gammarusdulensis	Gammaridae	Amphipoda
Gammarus	fossarum	Gammarus fossarum	Gammarusfossarum	Gammaridae	Amphipoda
Gammarus	frater	Gammarus frater	Gammarusfrater	Gammaridae	Amphipoda
Gammarus	goedmakersae	Gammarus goedmakersae	Gammarusgoedmakersae	Gammaridae	Amphipoda
Gammarus	ibericus	Gammarus ibericus	Gammarusibericus	Gammaridae	Amphipoda
Gammarus	insensibilis	Gammarus insensibilis	Gammarusinsensibilis	Gammaridae	Amphipoda
Gammarus	italicus	Gammarus italicus	Gammarusitalicus	Gammaridae	Amphipoda
Gammarus	kischineffensis	Gammarus kischineffensis	Gammaruskischineffensis	Gammaridae	Amphipoda
Gammarus	komareki	Gammarus komareki	Gammaruskomareki	Gammaridae	Amphipoda
Gammarus	lacustris	Gammarus lacustris	Gammaruslacustris	Gammaridae	Amphipoda
Gammarus	leopoliensis	Gammarus leopoliensis	Gammarusleopoliensis	Gammaridae	Amphipoda
Gammarus	monspeliensis	Gammarus monspeliensis	Gammarusmonspeliensis	Gammaridae	Amphipoda
Gammarus	nox	Gammarus nox	Gammarusnox	Gammaridae	Amphipoda
Gammarus	oceanicus	Gammarus oceanicus	Gammarusoceanicus	Gammaridae	Amphipoda
Gammarus	ochridensis	Gammarus ochridensis	Gammarusochridensis	Gammaridae	Amphipoda
Gammarus	pljakici	Gammarus pljakici	Gammaruspljakici	Gammaridae	Amphipoda
Gammarus	pulex	Gammarus pulex	Gammaruspulex	Gammaridae	Amphipoda
Gammarus	rambouseki	Gammarus rambouseki	Gammarusrambouseki	Gammaridae	Amphipoda
Gammarus	roeseli	Gammarus roeseli	Gammarusroeseli	Gammaridae	Amphipoda
Gammarus	roeselii	Gammarus roeselii	Gammarusroeselii	Gammaridae	Amphipoda
Gammarus	salinus	Gammarus salinus	Gammarussalinus	Gammaridae	Amphipoda
Gammarus	sp.	Gammarus sp.	Gammarussp.	Gammaridae	Amphipoda
Gammarus	spooneri	Gammarus spooneri	Gammarusspooneri	Gammaridae	Amphipoda
Gammarus	stojicevici	Gammarus stojicevici	Gammarusstojicevici	Gammaridae	Amphipoda
Gammarus	tigrinus	Gammarus tigrinus	Gammarustigrinus	Gammaridae	Amphipoda
Gammarus	uludagi	Gammarus uludagi	Gammarusuludagi	Gammaridae	Amphipoda
Gammarus	varsoviensis	Gammarus varsoviensis	Gammarusvarsoviensis	Gammaridae	Amphipoda
Gammarus	wautieri	Gammarus wautieri	Gammaruswautieri	Gammaridae	Amphipoda
Gammarus	zaddachi	Gammarus zaddachi	Gammaruszaddachi	Gammaridae	Amphipoda
Niphargus	aquilex	Niphargus aquilex	Niphargusaquilex	Niphargidae	Amphipoda
Niphargus	auerbachi	Niphargus auerbachi	Niphargusauerbachi	Niphargidae	Amphipoda
Niphargus	bajuvaricus	Niphargus bajuvaricus	Niphargusbajuvaricus	Niphargidae	Amphipoda
Niphargus	casimiriensis	Niphargus casimiriensis	Nipharguscasimiriensis	Niphargidae	Amphipoda
Niphargus	dudichi	Niphargus dudichi	Niphargusdudichi	Niphargidae	Amphipoda
Niphargus	enslini	Niphargus enslini	Niphargusenslini	Niphargidae	Amphipoda
Niphargus	fontanus	Niphargus fontanus	Niphargusfontanus	Niphargidae	Amphipoda
Niphargus	foreli	Niphargus foreli	Niphargusforeli	Niphargidae	Amphipoda
Niphargus	hrabei	Niphargus hrabei	Niphargushrabei	Niphargidae	Amphipoda
Niphargus	hungaricus	Niphargus hungaricus	Niphargushungaricus	Niphargidae	Amphipoda
Niphargus	inopinatus	Niphargus inopinatus	Niphargusinopinatus	Niphargidae	Amphipoda
Niphargus	javonici	Niphargus javonici	Niphargusjavonici	Niphargidae	Amphipoda
Niphargus	kieferi	Niphargus kieferi	Nipharguskieferi	Niphargidae	Amphipoda
Niphargus	kochianus	Niphargus kochianus	Nipharguskochianus	Niphargidae	Amphipoda
