name	region	exposed	exposedcoding	generationTime	Gen.TimeThreshold	Gen.TimeCoding	sensitivity	SensitivityThreshold	SensitivityCoding	Migration	MigrationCoding	CodingSpear	checksum
Acari	Eurasia	1	1	0.5	0.5	1	-1.111	-0.357	0	0	1	0	3
Acentria	Eurasia	1	1	1	0.5	1	-0.06	-0.357	1	0	1	1	4
Acentria ephemerella	Eurasia	1	1	1	0.5	1	-0.06	-0.357	1	0	1	1	4
Acilius	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Acilius canaliculatus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Acilius sp.	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Acilius sulcatus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Acroloxidae	Eurasia	1	1	1	0.5	1	-1.23	-0.357	0	0	1	0	3
Acroloxus	Eurasia	1	1	1	0.5	1	-1.23	-0.357	0	0	1	0	3
Acroloxus lacustris	Eurasia	1	1	1	0.5	1	-1.23	-0.357	0	0	1	0	3
Adicella	Eurasia	1	1	1	0.5	1	-0.05811	-0.357	1	0	1	1	4
Adicella reducta	Eurasia	1	1	1	0.5	1	-0.05811	-0.357	1	0	1	1	4
Adicella sp.	Eurasia	1	1	1	0.5	1	-0.05811	-0.357	1	0	1	1	4
Aedes	Eurasia	1	1	0.25	0.5	0	-0.28635	-0.357	1	0	1	0	3
Aedes sp.	Eurasia	1	1	0.25	0.5	0	-0.28635	-0.357	1	0	1	0	3
Aelosoma	Eurasia	1	1	0.5	0.5	1	-1.1	-0.357	0	0	1	0	3
Aelosomatidae	Eurasia	1	1	0.5	0.5	1	-1.1	-0.357	0	0	1	0	3
Aeolosoma hemprichi	Eurasia	1	1	0.5	0.5	1	-1.1	-0.357	0	0	1	0	3
Aeshna	Eurasia	1	1	2.21667	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna caerulea	Eurasia	1	1	3	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna cyanea	Eurasia	1	1	2	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna grandis	Eurasia	1	1	3	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna juncea	Eurasia	1	1	1	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna mixta	Eurasia	1	1	2	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshna sp.	Eurasia	1	1	2.3	0.5	1	-0.95986	-0.357	0	0	1	0	3
Aeshnidae	Eurasia	1	1	2	0.5	1	-0.95986	-0.357	0	0	1	0	3
Agabus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Agabus affinis	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Agabus arcticus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Agabus biguttatus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Agabus bipustulatus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
Agabus chalconatus	Eurasia	1	1	1	0.5	1	-0.80728	-0.357	0	0	1	0	3
