"ReachID";"X";"Y";"MonitoringProgram";"Watershed";"currentms";"tempmaxC";"orgmicropollTU";"saprowqclass";"shade";"Lit_Inp";"C_P";"C_N";"Occurrence.Chironomidae";"Occurrence.Simuliidae";"Occurrence.Limoniidae";"Occurrence.Baetisrhodani";"Occurrence.Baetisalpinus";"Occurrence.Empididae";"Occurrence.Ceratopogonidae";"Occurrence.Elmidae";"Occurrence.Nemouramortoni";"Occurrence.Baetismuticus";"Occurrence.Drususdiscolor";"Occurrence.Protonemuralateralis";"Occurrence.Athericidae";"Occurrence.Gammaridae";"Occurrence.Rhyacophilatristis";"Occurrence.Planariidae";"Occurrence.Leuctrabraueri";"Occurrence.Nemouraminima";"Occurrence.Hydraenidae";"Occurrence.Ecdyonurushelveticus";"Occurrence.Sericostoma";"Occurrence.Habroleptoidesconfusa";"Occurrence.Scirtidae";"Occurrence.Brachypterarisi";"Occurrence.Sphaeriidae";"Occurrence.Blephariceridae";"Occurrence.Odontocerumalbicorne";"Occurrence.Leuctranigra";"Occurrence.Tipulidae";"Occurrence.Drususannulatus";"Occurrence.Dixidae";"Occurrence.Drususbiguttatus";"Occurrence.Metanoeaflavipennis";"Occurrence.Ecdyonurusvenosus";"Occurrence.Habrophlebialauta";"Occurrence.Stratiomyidae";"Occurrence.Potamophylaxcingulatus";"Occurrence.Leuctramajor";"Occurrence.Protonemuraintricata";"Occurrence.Philopotamusludificatus";"Occurrence.Centroptilumluteolum";"Occurrence.Epeorusalpicola";"Occurrence.Hydropsychesiltalai";"Occurrence.Epeorusassimilis";"Occurrence.Baetislutheri";"Occurrence.Rhithrogenapicteti";"Occurrence.Ephemeradanica";"Occurrence.Dugesiidae";"Occurrence.Paraleptophlebiasubmarginata";"Occurrence.Dytiscidae";"Occurrence.Lymnaeidae";"Occurrence.Habroleptoidesauberti";"Occurrence.Isoperlagrammatica";"Occurrence.Isoperlarivulorum";"Occurrence.Capnioneuranemuroides";"Occurrence.Chloroperlasusemicheli";"Occurrence.Melampophylaxmucoreus";"Occurrence.Rhyacophilapubescens";"Occurrence.Ecclisopteryxmadida";"Occurrence.Erpobdellidae";"Occurrence.Leuctrahippopus";"Occurrence.Nemouraflexuosa";"Occurrence.Cordulegastridae";"Occurrence.Allogamusauricollis";"Occurrence.Electrogenaujhelyii";"Occurrence.Sialidae";"Occurrence.Chaetopteryxvillosa";"Occurrence.Serratellaignita";"Occurrence.Rhithrogenahybrida";"Occurrence.Nemouramarginata";"Occurrence.Ephemerellamucronata";"Occurrence.Ptychopteridae";"Occurrence.Rhithrogenasemicolorata";"Occurrence.Metanoearhaetica";"Occurrence.Rhithrogenaputhzi";"Occurrence.Protonemuranimborum";"Occurrence.Ecdyonuruspicteti";"Occurrence.Thaumaleidae";"Occurrence.Hydropsychetenuis";"Occurrence.Amphinemurasulcicollis";"Occurrence.Leuctrainermis";"Occurrence.Torleyamajor";"Occurrence.Cryptothrixnebulicola";"Occurrence.Rhithrogenaloyolaea";"Occurrence.Protonemurabrevistyla";"Occurrence.Rhyacophilaintermedia";"Occurrence.Rhithrogenaalpestris";"Occurrence.Rhyacophilahirticornis";"Occurrence.Perlagrandis";"Occurrence.Silopallipes";"Occurrence.Perlamarginata";"Occurrence.Rhithrogenagratianopolitana";"Occurrence.Nemurellapictetii";"Occurrence.Rhyacophilapraemorsa";"Occurrence.Rhyacophilatorrentium";"Occurrence.Drususmelanchaetes";"Occurrence.Ecdyonurusalpinus";"Occurrence.Siphonoperlamontana";"Occurrence.Rhithrogenanivata";"Occurrence.Dictyogenusalpinus";"Occurrence.Rhyacophilaglareosa";"Occurrence.Consorophylaxconsors";"Occurrence.Siphonoperlatorrentium";"Occurrence.Hydroptila";"Occurrence.Ecdyonurustorrentis";"Occurrence.Hydropsycheinstabilis";"Occurrence.Tabanidae";"Occurrence.Calopterygidae";"Occurrence.Rhithrogenadegrangei";"Occurrence.Leuctraschmidi";"Occurrence.Hydrophilidae";"Occurrence.Drususmuelleri";"Occurrence.Drususnigrescens";"Occurrence.Leuctrarauscheri";"Occurrence.Glossiphoniidae";"Occurrence.Melampophylaxmelampus";"Occurrence.Electrogenalateralis";"Occurrence.Tinodesunicolor";"Occurrence.Micropternasequax";"Occurrence.Psychomyiapusilla";"Occurrence.Glyphotaeliuspellucidus";"Occurrence.Potamopyrgusantipodarum";"Occurrence.Leuctrarosinae";"Occurrence.Rhithrogenagrischuna";"Occurrence.Rhyacophilarectispina";"Occurrence.Drususalpinus";"Occurrence.Isoperlacarbonaria";"Occurrence.Catagapetusnigrans";"Occurrence.Leuctraarmata"
"CH114BEAa";623712;199785;"NAWA TREND";"Aare";0.582164236532239;18.1529574814893;-2.07628091687188;1;0.2173074;136.768113704595;0.0121781012314104;1.37313268039695;5.04489578450471;1811.85749439968;46.5458921642002;29.1088744288791;3.86426537483364;4.31062899113363e-72;0.301848156694269;38.3241607036016;0.287695190794991;2.06063181410932;13.2157476629175;2.60095334447861e-125;2.34066438331418e-19;0.500585421992054;2.19686206110557;6.93236530459016e-20;2.34519961308066;0.488944677666725;27.1364183835455;0.00207712657216492;0.000713200121949558;0.0873301701933275;0.313499580179348;0.0034983015759865;6.5829824686219e-33;81.782134120834;9.35620391251343;3.49734158087132;0.0020529018508765;13.3135781101813;0.31061902708824;13.5694062639384;18.2876683604073;6.20173595412549;1.78302209148557e-76;0.0363070871078147;0.270434517859575;73.874052155812;0.0171824383381025;3.66755519369003e-15;4.17762300571237e-52;1.03807843775634e-22;0.610955577950532;0.867080769173919;62.6305368421669;123.213233400992;1.04312567329266e-10;9.88580609790071e-23;0.166171480795158;2.16721823554017e-12;0.00181900463596691;0.0160170159271115;2.25333056137698e-10;0.000638589857575218;0.0239391693010142;0.000257567931253522;0.860619375134614;7.12601371474922e-27;74.1445493861947;0.00965659389823924;96.0378355482724;12.8054997130993;1050.57076966222;0.87495202807147;3.46739975077074e-55;5.53547934200219e-64;0.223577471490342;4.74228302475909e-24;0.558514220020114;1.91308897434436;1.52398182050706;4.85952999592325e-48;7.00110111076871e-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH032AGAa";634429;239712;"NAWA TREND";"Aare";0.367917091744791;20.1851208899171;-0.96759811378234;2;0.6;510.814863771564;0.0293132216415569;2.68183277587947;13.7746523307957;5.82028716322037e-64;9.95811803709503e-18;1027.27948657328;6.94566721718e-21;1.04341278151837e-47;28.8577203007106;1107.50750190584;2.81413859843487e-63;0.000662375141931352;3.3138855730086e-41;6.82260727153872e-272;3.6734596969642e-07;906.564734960401;8.00929983454114;1.84344413880086e-17;1.15575026726835e-35;1.26782834207099e-80;45.933781919452;6.49266348408418e-41;2.00345943502075e-06;8.09034096974747e-19;1.4921842117869;0.203543530936212;1.23183733416602e-28;7.65251139239774e-40;4.8532462331583e-52;2.63179648007306e-40;0.0790549415793212;1.80644532837021e-38;2.33520866475071e-58;8.94626179453747e-29;0.000238660124243683;3.21484255833862;6.23941302700929e-06;1.2125276977151e-05;9.99840873435703e-10;1.5396310159738e-50;8.42781206250911e-60;9.9352348082535e-61;0.351295037621975;5.31478510999993e-70;2.58720949457912e-28;1.50665366467227e-42;24.0262322707538;1.53473018515424e-55;0.000736045708035319;0.0494432246823498;1.19721702804377e-18;1.12538840730899e-05;0.0661121664721174;2.1600465863434e-35;21.3226268594393;1.11358571053178e-50;5.01492860715824e-74;3.93957441643903e-52;6.00293755609944e-23;1.2619768491162e-56;23.013019457327;0.628544306973458;7.56140791241336e-83;104.602115417717;1050.61818723966;0.209376937415616;2.05492133861019e-06;1.29559681712722e-49;1.55141669956624e-20;2.04873737502479;1.89034357185747e-95;6.09467139267887e-21;4.16451963568198e-23;0.000181146457011437;2.19207042382059e-55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH049ZHLi";671505;255848;"NAWA TREND";"Limmat";0.358041048906757;20.0904925364126;-0.499678710753011;2;0.5044584;415.308327325208;0.0518484086629563;6.04642469633472;13.4981720318699;413.784698836728;1.22203526595362e-22;1009.15472414188;2.72481770491612e-25;1.66274022891713e-46;32.9287298690888;1062.90641688981;1.39501640932732e-72;3.40531265244777e-07;2.57872479497491e-36;9.24955447572866e-289;7.57248258050989e-09;909.956235026875;1.15095178905546;5.97802630156626e-17;6.53012241430459e-43;1.53468778676244e-91;50.5544411517807;2.14793203921523e-46;4.68325879543501e-09;8.87511361053951e-24;1.49213690529803;0.0138162006688755;5.99632504813495e-28;5.56002479838644e-39;9.23043265139554e-61;4.79592356723644e-48;0.089958642733399;3.64703956955637e-43;2.86948252159304e-66;NA;NA;0.271731359975836;2.09328769771667e-06;3.79337986153387e-05;7.65778688673486e-12;2.58804252183074e-59;7.88369592982095e-71;4.10046826938499e-65;0.00703154217338306;2.33521779230929e-74;246.99160208329;2.55357506392849e-18;21.4623440387749;NA;0.000366987391533589;0.0881895489046279;1.20222665975135e-23;1.35095976171168e-05;NA;1.27141047622327e-41;1.61887280574947;4.61541349819519e-57;4.30467805802466e-84;1.63121398612742e-59;NA;8.05352148677875e-62;NA;0.628473265985654;3.54167227638948e-94;NA;NA;0.0551639807162443;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.000222665142133617;1.93513450098169e-126;2.44519174139738e-289;1.44344838816107e-93;974.408033818939;0.000344868529643492;8.75110701347227e-82;1.49442567538007e-68;8.75925518890472e-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH042ZHLi";682105;246843;"NAWA TREND";"Limmat";0.666584381202329;19.0875325696686;-1.40358652247665;1;0;14.8317484531906;0.0104847144911475;1.39757920553422;6.65667990873332;1951.4357768164;11.0208540048871;9.65793839979775;1.49912477328821;1.56664320457741e-89;0.0535314781941288;23.8286740258375;0.104469987421432;0.146998055611978;10.7897184285498;3.29250359362865e-148;2.62919705723411e-26;0.0602623102494775;0.00737046214628558;2.72808650772159e-19;0.359028738531047;0.02161028607872;7.358866401162;0.000356254958645031;5.48891707448321e-09;0.000600761489204956;0.186787605591002;1.17983275177455e-09;4.81309664404473e-35;774.894506942448;0.619182198895079;0.381598286115254;0.00018470504298197;10.7186217053622;0.0438044429660452;NA;NA;0.803757501591097;6.07570518823806e-90;0.00326782571037473;0.135900827431981;21.9046603814596;2.19956553671524e-14;5.81358414473031e-18;4.73899859380261e-74;4.19848744307507e-26;0.0857461331142986;0.479476615607829;146.366604440653;NA;9.47093538320654e-16;1.3260147705218e-20;0.0010779437347266;2.23542423265768e-25;NA;5.88917853279125e-05;3.79463024781636e-18;5.52972586798513e-05;0.0083453181767909;2.20361434859825e-05;NA;3.77518446576936e-33;NA;0.00350634564254781;13.2217886750062;NA;NA;0.44121710589746;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.3181923862427;1.94181745365774e-50;1.43176475885521e-225;4.30248648234764e-43;1046.01479033707;0.550068590122076;0.000788383551238585;3.71962912825868;8.89226257532346e-23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH074NWRe";672138;201829;"NAWA TREND";"Reuss";0.90533717774572;14.9034860277795;-2.03103506182739;1;0.3573246;176.900725580105;0.00598634645442307;0.842799942410455;1.9631581567952;1.48600490926389e-54;31.1492639842067;9.77584626373207;50.0974901851361;6.80087431028955e-74;0.0764413748199926;4.11596638763205;3.24690097053555;0.412209648378373;2.30316490985619e-09;4.41190031001886e-107;2.52139235411306e-18;0.0350602818494712;0.787037010912376;2.31566728856504e-22;17.0639644915654;2.10553585652925;39.7888038629275;0.00164266004133015;0.000367988050997196;0.0088846408507321;0.190239166405394;0.00170912099670277;9.1937051753674e-29;5.87391252691027e-31;1.20918586694426;9.33109202729415;0.000184380460957231;NA;0.082523697725704;21.4587400136393;62.1516224621048;5.53042006271535;1.24351486727756e-65;0.00321410782668521;0.260008440053606;42.1329951024201;0.00381231707759651;1.76879466371833e-13;4.36045026200847e-47;5.8318800186134e-20;NA;7.83756918846178e-20;48.4999724290074;1.19573383154123e-37;4.09680848873649e-10;1.62693930159442e-25;0.0112614615310249;5.89799386726942e-21;NA;0.00794394741787964;3.97356758299067e-10;0.00143197900308738;0.214908248772336;NA;NA;NA;73.9506494079679;NA;NA;NA;1048.98198357138;0.840980801214614;NA;NA;0.249848187255166;NA;NA;NA;NA;NA;NA;NA;6.91918148706391e-38;4.27877419033728e-159;1.73441388098623e-32;5.97192560097637e-31;1.39511085176893e-35;0.00505582135980204;NA;NA;8.76504494794829e-05;6.92636394653046e-38;5.03551666424193e-76;4.24285671017413e-13;3.22108060817601e-47;4.07316471296219e-13;2.19757304301711e-05;1.16840421415399e-05;0.00917813772638418;1.0992892714171e-37;0.0028742362987415;4.7276675671253e-19;2.79909591574161e-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH076ZGRe";680595;226069;"NAWA TREND";"Reuss";0.419103559208466;17.9294221846595;-1.05300930423849;1;0.4961538;187.06354270087;0.0146294326271828;1.60866057096009;4.70483656147908;1.27141158789092e-68;68.0586989276869;395.063166843437;0.154273226092625;7.49402984045699e-103;14.3646457401272;390.216668883701;0.0209024809272195;56.1170061827468;1.15999404317079e-10;1.01841150074005e-158;1.48843895741685e-27;228.451385809273;0.00102591817986302;1.05770295393448e-18;1.95366217576097;3.3398097834979;254.306571694696;0.00458763925073268;6.3271837965533e-10;29.4679455165413;1.35682802827685;1.08082498837313e-11;9.14185789889536e-35;1.13400546196441e-38;165.568408826924;12.921331067139;0.038769687767395;NA;2.39165527958083;0.421748450922069;0.220057052033692;15.2504875739658;3.35753547903285e-96;0.678699906000671;0.0782048253626683;93.1090336722825;2.12575808300456e-21;6.64809832370415e-20;2.32761544415076e-84;1.47414254872568e-27;NA;2.19848083576622e-27;8.21230834108952;6.4399200415712e-53;1.61273062119321e-15;7.19159698741367e-22;39.3795274239117;2.89607855980654e-11;NA;6.2416282494275;2.42719463203118e-21;0.00145487761365448;0.000765764391848453;NA;NA;NA;74.0170476573592;NA;NA;NA;1049.17919962936;0.254438754968192;NA;NA;0.0494069689631131;NA;NA;NA;NA;NA;NA;NA;2.86906748518372e-53;7.12742849242606e-244;1.56996396454314e-45;1.662612259924e-38;3.00494605437939e-33;0.0548563474503142;NA;NA;1.3487695196442e-05;2.87602057831525e-53;6.86380557690122e-108;1.18305795549666e-13;1.60236856070596e-68;7.31762474380024e-14;9.52632520053426e-10;8.14504626130651e-11;1.18890003803908e-07;6.03431734903324e-53;1.88273277916696e-08;2.87375524552311e-23;2.50394993536741e-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"752203Rh";752902;203165;"BDM";"Rhein";0.968032661539804;8.76933488399821;-4;1;0.0194172;18.7977042374127;0.00424371346072232;0.64920744509569;0.280963550068625;2.00861991197958e-38;55.7484741017206;0.623855004866884;797.406553260551;1.65217628277304e-15;0.0314768802652223;0.148450952097285;1658.04762147976;0.354316838707196;8.80282021699686;1848.58320103546;2.5458896043341e-05;0.000318283032122639;0.691234741790283;3.82654267375944e-11;592.031108072955;23.0798040842352;0.659672606456351;10.2967832075856;0.182448567394624;NA;0.144347937002671;NA;NA;9.65795654579212e-22;2.96403180425123;75.9800867356531;0.00018234439818843;NA;0.216110293314826;NA;NA;3.62085440847458;NA;0.00265187524938276;NA;254.207584576358;NA;2.1971530650592e-06;NA;32.0755657105005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.94789512644249;NA;4.8662476850194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58.3685913682926;6.07581031844507e-20;0.00592096375827519;8.99722096424699;9.79647328760216e-22;NA;NA;NA;NA;7.00332576443;6.15886460187794e-20;3952.78868215914;0.273705556051122;1.4849520849065e-22;0.466380989165007;NA;NA;NA;NA;NA;NA;NA;64.7085583469653;3.21000835122782e-19;0.0406956740943726;2.35267503735004e-24;898.249820298771;0.0315393760238556;0.325083198067177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"752211Rh";752000;211342;"BDM";"Rhein";1.14071901703536;14.7943528234932;-0.909481178173972;1;0.4872612;448.237265992583;0.0154020057571821;1.67529694541815;1.90870907008705;5.23264626531334e-54;5.98151287960257;9.74607128009352;7.98881856656441;3.12193530518256e-91;0.0765312822955524;3.92901975054733;0.628084355053095;0.0655563980255;2.8540894002788e-12;7.02228608745306e-128;1.45632745433557e-26;0.034553338077162;0.000270323868064117;1.04350650538542e-22;3.49051750480168;0.392380329238695;40.4171737676391;0.000277430415891888;7.904751401835e-10;NA;0.190593709892108;NA;NA;1.4685283725438e-30;0.221737718576907;1.83402855333367;0.000184810449686831;NA;0.0109238608335488;NA;NA;0.926897753223499;NA;0.00320699371892088;NA;7.64863611838539;NA;5.59644031592535e-16;NA;1.63367155362438e-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.000296997142824312;NA;9.36993000241852e-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.2764071194209;5.89656484604975e-43;2.41430767177475e-197;8.77809484921042e-37;1.51431745508266e-30;NA;NA;NA;NA;4.74915990645037e-05;5.9833439400008e-43;2.08980743650291e-86;1.45075880793747e-16;2.20361895905728e-55;1.38594424396784e-16;NA;NA;NA;NA;NA;NA;NA;4.86015984770098;4.39157977885045e-46;1.43784056915536e-19;8.62527659112112e-64;1050.65538802825;1.00239434937665e-16;0.41020337724364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH069JURh";599461;244150;"NAWA TREND";"RheinabBS";0.599597889398647;18.9162677514539;-1.54975098994193;1;0.5942124;452.445061421531;0.0153424352580351;1.55271586386574;6.3188634926733;7.77138309593267e-66;19.0967836621915;17.1455097783368;1.45993996698711;6.29605454240362e-98;0.141217869104685;35.417970931872;0.119678668377252;0.463153277286039;NA;2.78530440895186e-141;7.79235269790154e-30;0.208479797011875;0.0525145408862844;7.64210377205344e-26;0.610615292651911;0.0660766103886569;12.0822560359196;0.000682566789760724;3.83809427482949e-07;0.00803669168585532;0.250883179566474;1.97268242931414e-08;5.71843972795615e-34;NA;2.37567168248073;NA;0.00107255121137067;9.88810189596739;0.0986410663403015;NA;NA;1.63576423563291;7.77202402451075e-86;0.0186427133313548;0.164632968988325;34.9374508773539;1.4479910237826e-11;4.03212114851964e-17;7.66555722023608e-69;NA;9.46045316537586e-62;7.57652333578926e-25;100.770224928809;5.29508275136644e-48;2.81495820383905e-14;4.14260244883195e-29;0.0156770139129649;7.27579867108197e-16;0.000949565125197915;0.000884612967296545;4.33868648549771e-16;NA;0.00978495767112032;NA;0.519466650102327;1.30545901235151e-36;NA;0.00638055395625942;21.0847239200024;2.96579567649864e-05;1050.68381875449;NA;3.57957299030991e-63;1.95236598267656e-88;NA;1.14643776854918e-33;NA;0.241221626704106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.000932324085621178;2.3757826266533e-122;0.216741564811026;5.75642514909578e-48;0.00127576603394256;2.49457094587043e-44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH070TGRh";709510;269793;"NAWA TREND";"RheinabBS";0.545289775178031;20.3060505419049;-0.774416302438116;2;0.5286174;313.313271560862;0.0361015389785767;3.88606803130845;14.2729262765411;2140.73043824341;1.60204645282331e-22;159.066679146987;2.21156334982171e-24;1.11422415229806e-52;0.889712314855269;188.839488693179;1.78095455428564e-74;4.61824460613591e-07;NA;5.46928145856277e-312;1.80278113619153e-14;7.89497347559796;2.17547969005362;1.60956650050038e-26;2.48139062069554e-43;1.37501115223137e-95;7.99146352240926;2.56118630159471e-48;3.01523354453474e-09;6.66769404634541e-25;0.489801541181421;0.0287237700121582;2.86462356684351e-32;NA;7.18153650511294e-63;NA;0.00503760339007629;1.12135836532046e-44;2.52347713671889e-69;NA;NA;0.316871300213867;3.93015973476215e-83;7.85801191295322e-07;1.02106610381241e-11;7.33901084623739e-61;5.81134027399435e-72;1.22191635915323e-69;0.00295588386411329;NA;11.275111225134;1.03299605702239e-17;183.03848981688;0.721782464544492;5.35767882415345e-06;8.46096678849017e-10;1.50712032706098e-24;5.3672481968657e-10;0.00447410840910137;1.02087789985616e-43;2.69250504227421;NA;1.53835900372286e-86;NA;4.13872536022949e-27;8.71168870421659e-71;NA;0.0761600678849812;6.59039154120718e-98;31.4060813852182;1051.06400851021;NA;4.81052022267579e-42;5.36605072095101e-56;NA;0.0257082524520355;NA;9.31903167034069e-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.73283226929389e-11;1.01305637953634e-99;0.0160310833264048;0.597000530879397;0.00770591543035531;1.41453944480917e-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
