"ReachID";"X";"Y";"MonitoringProgram";"Watershed";"currentms";"tempmaxC";"orgmicropollTU";"saprowqclass";"shade";"Lit_Inp";"C_P";"C_N";"Occurrence.Chironomidae";"Occurrence.Simuliidae";"Occurrence.Limoniidae";"Occurrence.Baetisrhodani";"Occurrence.Baetisalpinus";"Occurrence.Empididae";"Occurrence.Ceratopogonidae";"Occurrence.Elmidae";"Occurrence.Nemouramortoni";"Occurrence.Baetismuticus";"Occurrence.Drususdiscolor";"Occurrence.Protonemuralateralis";"Occurrence.Athericidae";"Occurrence.Gammaridae";"Occurrence.Rhyacophilatristis";"Occurrence.Planariidae";"Occurrence.Leuctrabraueri";"Occurrence.Nemouraminima";"Occurrence.Hydraenidae";"Occurrence.Ecdyonurushelveticus";"Occurrence.Sericostoma";"Occurrence.Habroleptoidesconfusa";"Occurrence.Scirtidae";"Occurrence.Brachypterarisi";"Occurrence.Sphaeriidae";"Occurrence.Blephariceridae";"Occurrence.Odontocerumalbicorne";"Occurrence.Leuctranigra";"Occurrence.Tipulidae";"Occurrence.Drususannulatus";"Occurrence.Dixidae";"Occurrence.Drususbiguttatus";"Occurrence.Metanoeaflavipennis";"Occurrence.Ecdyonurusvenosus";"Occurrence.Habrophlebialauta";"Occurrence.Stratiomyidae";"Occurrence.Potamophylaxcingulatus";"Occurrence.Leuctramajor";"Occurrence.Protonemuraintricata";"Occurrence.Philopotamusludificatus";"Occurrence.Centroptilumluteolum";"Occurrence.Epeorusalpicola";"Occurrence.Hydropsychesiltalai";"Occurrence.Epeorusassimilis";"Occurrence.Baetislutheri";"Occurrence.Rhithrogenapicteti";"Occurrence.Ephemeradanica";"Occurrence.Dugesiidae";"Occurrence.Paraleptophlebiasubmarginata";"Occurrence.Dytiscidae";"Occurrence.Lymnaeidae";"Occurrence.Habroleptoidesauberti";"Occurrence.Isoperlagrammatica";"Occurrence.Isoperlarivulorum";"Occurrence.Capnioneuranemuroides";"Occurrence.Chloroperlasusemicheli";"Occurrence.Melampophylaxmucoreus";"Occurrence.Rhyacophilapubescens";"Occurrence.Ecclisopteryxmadida";"Occurrence.Erpobdellidae";"Occurrence.Leuctrahippopus";"Occurrence.Nemouraflexuosa";"Occurrence.Cordulegastridae";"Occurrence.Allogamusauricollis";"Occurrence.Electrogenaujhelyii";"Occurrence.Sialidae";"Occurrence.Chaetopteryxvillosa";"Occurrence.Serratellaignita";"Occurrence.Rhithrogenahybrida";"Occurrence.Nemouramarginata";"Occurrence.Ephemerellamucronata";"Occurrence.Ptychopteridae";"Occurrence.Rhithrogenasemicolorata";"Occurrence.Metanoearhaetica";"Occurrence.Rhithrogenaputhzi";"Occurrence.Protonemuranimborum";"Occurrence.Ecdyonuruspicteti";"Occurrence.Thaumaleidae";"Occurrence.Hydropsychetenuis";"Occurrence.Amphinemurasulcicollis";"Occurrence.Leuctrainermis";"Occurrence.Torleyamajor";"Occurrence.Cryptothrixnebulicola";"Occurrence.Rhithrogenaloyolaea";"Occurrence.Protonemurabrevistyla";"Occurrence.Rhyacophilaintermedia";"Occurrence.Rhithrogenaalpestris";"Occurrence.Rhyacophilahirticornis";"Occurrence.Perlagrandis";"Occurrence.Silopallipes";"Occurrence.Perlamarginata";"Occurrence.Rhithrogenagratianopolitana";"Occurrence.Nemurellapictetii";"Occurrence.Rhyacophilapraemorsa";"Occurrence.Rhyacophilatorrentium";"Occurrence.Drususmelanchaetes";"Occurrence.Ecdyonurusalpinus";"Occurrence.Siphonoperlamontana";"Occurrence.Rhithrogenanivata";"Occurrence.Dictyogenusalpinus";"Occurrence.Rhyacophilaglareosa";"Occurrence.Consorophylaxconsors";"Occurrence.Siphonoperlatorrentium";"Occurrence.Hydroptila";"Occurrence.Ecdyonurustorrentis";"Occurrence.Hydropsycheinstabilis";"Occurrence.Tabanidae";"Occurrence.Calopterygidae";"Occurrence.Rhithrogenadegrangei";"Occurrence.Leuctraschmidi";"Occurrence.Hydrophilidae";"Occurrence.Drususmuelleri";"Occurrence.Drususnigrescens";"Occurrence.Leuctrarauscheri";"Occurrence.Glossiphoniidae";"Occurrence.Melampophylaxmelampus";"Occurrence.Electrogenalateralis";"Occurrence.Tinodesunicolor";"Occurrence.Micropternasequax";"Occurrence.Psychomyiapusilla";"Occurrence.Glyphotaeliuspellucidus";"Occurrence.Potamopyrgusantipodarum";"Occurrence.Leuctrarosinae";"Occurrence.Rhithrogenagrischuna";"Occurrence.Rhyacophilarectispina";"Occurrence.Drususalpinus";"Occurrence.Isoperlacarbonaria";"Occurrence.Catagapetusnigrans";"Occurrence.Leuctraarmata"
"CH114BEAa";623712;199785;"NAWA TREND";"Aare";0.582164236532239;18.1529574814893;-2.07628091687188;1;0.2173074;136.768113704595;0.0121781012314104;1.37313268039695;0.00060657253511545;0.275918316302291;0.0239430570049459;0.0143021524336236;0.00189864134286186;1.99203309386501e-75;6.40507064352156e-05;0.0102625780793937;6.60921385036317e-05;0.00101245654094158;0.0998514906441502;1.93723320078365e-129;2.09838071895125e-21;0.000267621731847691;0.00867114378339755;1.18840548058882e-22;0.0004651324612452;0.000112325128785314;0.0194236492289378;2.51537540322388e-06;1.33725022865542e-06;2.52093091582506e-05;0.000287374615268902;3.25735491099582e-06;2.74290936412012e-36;0.0437534417546462;0.00226108261530948;0.00069364121000727;1.96587236668381e-05;0.100590647916128;0.000146217746805244;0.102523555773704;0.138172352618104;0.00751022796845619;5.14699044336508e-80;1.94242916026809e-05;0.00204326614117187;0.0146517249575408;1.27977651308707e-06;2.56728863558302e-17;1.18920782130763e-55;6.65168722071196e-25;0.000192526797926729;0.00555598677505044;0.0307724535039962;0.0898088697902817;1.61684479360362e-12;6.32691590265645e-26;4.79681675115926e-05;1.20497333896033e-14;7.58338497774146e-06;4.62357860296519e-06;3.50690756315713e-13;9.93851341508211e-07;5.7388419462125e-06;1.37798843220634e-07;0.00650240377436636;2.81267953127459e-29;0.560198633341336;0.000120491777887616;0.0190475533818422;0.00294180399160538;0.562055361769286;0.00661069403513201;9.64812087201413e-58;2.16592319833148e-67;0.00168923804934637;3.95190251905182e-27;0.000407095321478702;0.000439493413542108;0.00126998484991456;2.59984854781894e-51;5.10303123041459e-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH032AGAa";634429;239712;"NAWA TREND";"Aare";0.367917091744791;20.1851208899171;-0.96759811378234;2;0.6;510.814863771564;0.0293132216415569;2.68183277587947;0.00165619393175334;8.86341138547264e-68;5.12242384318348e-21;0.504736376695116;3.41263594839573e-24;4.82183179211562e-51;0.00612346747985117;0.29657224067414;6.4649130040102e-67;3.25446807340191e-07;2.50380396727402e-43;5.08159108289667e-276;3.29321753896211e-09;0.484665381258339;0.0316131775859873;3.16018995170335e-20;2.29224396678609e-39;2.91257862710316e-84;0.032878387086741;7.86253772308805e-44;3.75648644066391e-09;2.33541176263055e-22;0.00136783552796872;0.000189524403684246;5.13265556313121e-32;4.09409359493279e-43;1.17286784129767e-55;5.21974320413949e-44;0.000757035340166097;1.36485852640067e-40;1.09925316707316e-61;6.75934195069348e-31;1.80319492857122e-06;0.00389313583719359;1.80111056254315e-09;6.48702318277578e-09;7.55429084800369e-12;3.05360942358601e-54;6.2771742415589e-64;6.95466436577745e-63;0.000100000121062952;3.40555076680195e-72;8.15291941891854e-32;9.65417309794052e-45;0.0118048822939389;1.11864918691942e-58;1.14087084745474e-05;3.16436637967039e-05;3.45596649161041e-22;6.25715954463799e-08;0.000275619973779835;6.23533448644477e-39;0.0331848698461933;1.73309776089895e-53;1.20220891068269e-77;2.10767231279488e-55;4.53551534509214e-25;4.98109685798782e-59;0.173874710356693;0.00784276752511882;1.49968312000518e-86;0.0240302157323411;0.562080730173218;0.00158194601173558;5.71786666737381e-09;5.06941319536254e-53;1.172171821172e-22;0.00170728114517108;1.37785215936454e-98;1.40012721347884e-24;3.47043302834681e-26;9.69133545011186e-08;1.59777778595692e-58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH049ZHLi";671505;255848;"NAWA TREND";"Limmat";0.358041048906757;20.0904925364126;-0.499678710753011;2;0.5044584;415.308327325208;0.0518484086629563;6.04642469633472;0.0016229513509365;0.063013111002148;6.28611004630949e-26;0.495831081653552;1.33879302907307e-28;7.68387529828344e-50;0.00698731585187635;0.284628805801744;3.20476743060335e-76;1.67314269599982e-10;1.94835374665766e-38;6.88922162363146e-293;6.78865007508568e-11;0.486478536579043;0.00454287441498994;1.02480450866913e-19;1.29514429980996e-46;3.52563410887232e-95;0.036185752961879;2.60111997585554e-49;8.78111024144064e-12;2.56194946520078e-27;0.00136779216368724;1.28646053299091e-05;2.49846877205501e-31;2.97461326713675e-42;2.23068789383073e-64;9.51193971007967e-52;0.000861449902334415;2.75551824041115e-45;1.35075198946256e-69;NA;NA;0.000329063422675971;6.04262382771975e-10;2.02945822592062e-08;5.78583561958612e-14;5.13296429554273e-63;5.87190751904612e-75;2.87032778856949e-67;2.00160831578333e-06;1.4963357085285e-76;0.0778329947054496;1.63625232950352e-20;0.0105451592357311;NA;5.68830456877063e-06;5.64413112989619e-05;3.47042762848965e-27;7.51133627511692e-08;NA;3.67013824560253e-45;0.00251948710215111;7.18306882325656e-60;1.03194336836433e-87;8.7269948257817e-63;NA;3.17877230486637e-64;NA;0.00784188109922025;7.02433487389573e-98;NA;NA;0.00041679107719632;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.68234495116147e-06;1.41049981100445e-129;1.82121937472376e-293;1.74799871132516e-96;0.521308298093132;1.08676368813408e-07;2.1733518486202e-85;2.96395193253703e-72;7.29937932116751e-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH042ZHLi";682105;246843;"NAWA TREND";"Limmat";0.666584381202329;19.0875325696686;-1.40358652247665;1;0;14.8317484531906;0.0104847144911475;1.39757920553422;0.00080036523650188;0.297173964053743;0.00566909180194319;0.00474526445623795;0.000736569566678879;7.23979056470877e-93;1.13591185462435e-05;0.00638092585014122;2.39998620034289e-05;7.22250049188773e-05;0.0815216434363667;2.45231129916924e-152;2.35704719162332e-28;3.22172862524231e-05;2.90916476514545e-05;4.67671972674328e-22;7.12075508964197e-05;4.96452518608711e-06;0.00526731411929652;4.31420488409748e-07;1.0291719514656e-11;1.73419816750751e-07;0.000171221971854014;1.09857138519077e-12;2.005456936623e-38;0.41456856121421;0.000149635698272705;7.5683856093845e-05;1.7687476867458e-06;0.0809844726329233;2.06200727965529e-05;NA;NA;0.000973340708626979;1.75385356636329e-93;1.74828675505048e-06;0.00102679776770654;0.00434443556068338;1.63827290253776e-18;4.06950890131122e-20;1.34900975631595e-77;2.69026156942267e-28;2.70206689960553e-05;0.00307233862169616;0.0719147520807353;NA;1.46799498439701e-17;8.48649453133949e-24;3.1116642511706e-07;1.24289587335767e-27;NA;1.7000095384288e-08;5.90566592560658e-21;8.60603313202849e-08;2.00058997057297e-06;1.17893367650006e-08;NA;1.49008751578427e-35;NA;4.37510187143848e-05;0.00262232821213501;NA;NA;0.00333361281141724;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.470844674302866;1.415370947084e-53;1.06640214537271e-229;5.21025960354488e-46;0.559617912830335;0.000173339843547264;1.95796354206195e-07;0.000737728354420801;7.41021880980546e-26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH074NWRe";672138;201829;"NAWA TREND";"Reuss";0.90533717774572;14.9034860277795;-2.03103506182739;1;0.3573246;176.900725580105;0.00598634645442307;0.842799942410455;0.000236040122703297;2.26295927714162e-58;0.0160230810616966;0.00480319648817659;0.0246145533012754;3.14282827893067e-77;1.62204868557761e-05;0.0011021879057423;0.00074590968329787;0.000202532229135899;1.74015466483014e-11;3.28605654432819e-111;2.26040142213408e-20;1.87438405822625e-05;0.00310648137873628;3.96971535116417e-25;0.00338436172268356;0.000483704183825784;0.0284799474473438;1.98924163755415e-06;6.89977595619743e-07;2.56469966187288e-06;0.00017438590260169;1.5914047291723e-06;3.83071049280099e-32;3.14254320189699e-34;0.000292219918247924;0.00185067137848428;1.76563946784638e-06;NA;3.88463940944018e-05;0.162131362701438;0.469586156385766;0.00669727246363761;3.58961292101961e-69;1.71954768727659e-06;0.00196449198196035;0.00835639900429514;2.83947700573419e-07;1.23815626460283e-15;1.24125167563299e-50;3.7368892736448e-22;NA;5.02207318023243e-22;0.0238296400089598;8.71558200499723e-41;6.35005315754157e-12;1.04124115302043e-28;3.25080856570968e-06;3.2792845902018e-23;NA;2.29315282394257e-06;6.18415000815082e-13;2.22862019549434e-06;5.15191006477197e-05;NA;NA;NA;0.558733623388389;NA;NA;NA;0.561205361210689;0.00635402466407662;NA;NA;0.00188772626176638;NA;NA;NA;NA;NA;NA;NA;5.0433208517848e-41;3.18690200182702e-163;2.10035443853369e-35;3.19498019652236e-34;4.39632985993707e-39;1.25562156670044e-06;NA;NA;6.62242368679127e-07;5.04855607327198e-41;3.75053635074885e-80;1.67468050168604e-15;2.34781281960377e-50;1.60770207219028e-15;7.9112629548616e-07;3.02209719219391e-08;0.000330412958149831;8.01260743781089e-41;5.29398912762748e-07;1.86603819877605e-21;1.10481962334503e-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH076ZGRe";680595;226069;"NAWA TREND";"Reuss";0.419103559208466;17.9294221846595;-1.05300930423849;1;0.4961538;187.06354270087;0.0146294326271828;1.60866057096009;0.000565685548780944;1.93616631408596e-72;0.0350091755113329;0.194107595843666;7.57995367149812e-05;3.46315015263615e-106;0.00304810775531307;0.104493587303102;4.80192129974028e-06;0.0275721405341589;8.76432702131119e-13;7.58529781197987e-163;1.33436969086405e-29;0.122134111037403;4.04935940453033e-06;1.81320506358549e-21;0.000387477335057063;0.000767253599814331;0.18202703007434;5.5555761910696e-06;1.18634696185374e-12;0.00850641361559756;0.00124375902637273;1.00638281386916e-14;3.80910746092035e-38;6.06692922150961e-42;0.0400123655216962;0.0025627372989063;0.00037126108982921;NA;0.00112582429155517;0.00318651752254575;0.00166263954433514;0.0184681578122333;9.6920857606666e-100;0.000363104449710359;0.000590876020578012;0.0184666728386763;1.58329988654839e-25;4.6536688265929e-22;6.62582163923267e-88;9.44585187036502e-30;NA;1.40871887406246e-29;0.00403497861152796;4.69399206975634e-56;2.49973246284948e-17;4.60262207194475e-25;0.0113675569294957;1.61021967925244e-13;NA;0.00180175002341528;3.7774960133337e-24;2.26425780320267e-06;1.83573655275901e-07;NA;NA;NA;0.559235294905354;NA;NA;NA;0.561310871801707;0.00192241026457424;NA;NA;0.000373294014459642;NA;NA;NA;NA;NA;NA;NA;2.09123404267647e-56;5.30862698519762e-248;1.9012075591733e-48;8.89497559059342e-42;9.46930779702392e-37;1.36236642925461e-05;NA;NA;1.0190618836478e-07;2.09630208138021e-56;5.11227626421055e-112;4.66959934254648e-16;1.16795010935347e-71;2.88830953157375e-16;3.42947707219233e-11;2.1067299431479e-13;4.2800401369407e-09;4.39835240187927e-56;3.46776180771983e-12;1.13428809998583e-25;9.88323768724617e-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"752203Rh";752902;203165;"BDM";"Rhein";0.968032661539804;8.76933488399821;-4;1;0.0194172;18.7977042374127;0.00424371346072232;0.64920744509569;3.37816240651826e-05;3.0588223738219e-42;0.02867683551209;0.000306520590409126;0.391792204269779;7.6350570623273e-19;6.67924044805824e-06;3.97527162731982e-05;0.380902832409687;0.000174087577634484;0.066509647653605;0.137685543612651;2.28236294634814e-07;1.70159682108655e-07;0.0027283441870387;6.55978743963717e-14;0.117419807207782;0.00530211716072426;0.000472179089098833;0.0124692811501105;0.000342091063864921;NA;0.000132318942300564;NA;NA;5.16700675199878e-25;0.000716307687015391;0.0150694228976758;1.74614199634129e-06;NA;0.000101729634678617;NA;NA;0.00438481132531032;NA;1.41875325841978e-06;NA;0.050417968185607;NA;1.53800714554144e-08;NA;0.205530355677923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0139258045983641;NA;0.00260344251148538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.441003490954719;4.42859620430423e-23;4.41003203595211e-07;0.0108955268369848;5.24111320886716e-25;NA;NA;NA;NA;0.0529135796839618;4.48913362484308e-23;0.294410258723636;0.00108033193018941;1.0823664370868e-25;0.00184083319862959;NA;NA;NA;NA;NA;NA;NA;0.488905067891714;3.88728167027688e-22;0.00146504426739741;1.71484085155512e-27;0.480563653859843;0.000124487772438413;0.00245616386891646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"752211Rh";752000;211342;"BDM";"Rhein";1.14071901703536;14.7943528234932;-0.909481178173972;1;0.4872612;448.237265992583;0.0154020057571821;1.67529694541815;0.000229493442262301;7.96852374865772e-58;0.00307687095881458;0.00478856705426468;0.00392517069606136;1.44271252701656e-94;1.62395647835212e-05;0.00105212668001579;0.000144289649303572;3.2210025841116e-05;2.15640528495528e-14;5.23031517766123e-132;1.30558206996348e-28;1.84728195650005e-05;1.06698420878029e-06;1.78886829464828e-25;0.000692287764748159;9.01414270933165e-05;0.0289297207535565;3.35964911138415e-07;1.48214088784406e-12;NA;0.000174710900797964;NA;NA;7.85662679310932e-34;5.3586615396665e-05;0.000363749938490512;1.76975706831103e-06;NA;5.14219084538503e-06;NA;NA;0.00112246207862616;NA;1.71574163962267e-06;NA;0.00151698342566252;NA;3.91750822114774e-18;NA;1.04680646479573e-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.62223139498079e-07;NA;5.01291255129391e-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.470528966006557;4.29794600670362e-46;1.7982164073021e-201;1.06301677359299e-39;8.10159838469222e-34;NA;NA;NA;NA;3.58822450353758e-07;4.36119840365846e-46;1.55652324861274e-90;5.72623035436531e-19;1.60619539556518e-58;5.47040345772526e-19;NA;NA;NA;NA;NA;NA;NA;0.0367209043286663;5.31815051862846e-49;5.17622604895931e-21;6.28687618119862e-67;0.562100632595112;3.95650946183484e-19;0.00309928879770998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH069JURh";599461;244150;"NAWA TREND";"RheinabBS";0.599597889398647;18.9162677514539;-1.54975098994193;1;0.5942124;452.445061421531;0.0153424352580351;1.55271586386574;0.000759747913836361;1.18346334951706e-69;0.00982332400509114;0.00842415583608667;0.000717316775775896;2.90954035595366e-101;2.99657429632487e-05;0.0094843483961248;2.74937481730656e-05;0.000227562518367438;NA;2.07454093198749e-145;6.98576129628302e-32;0.000111456949963794;0.000207277981993518;1.31007493213367e-28;0.000121105680028684;1.51797618639014e-05;0.00864821214866815;8.26580207980363e-07;7.19642676530528e-10;2.31992500266247e-06;0.000229976248019562;1.83681328192797e-11;2.38268322188787e-37;NA;0.000574120657391399;NA;1.02708212152793e-05;0.0747094859206494;4.64333257300693e-05;NA;NA;0.00198089089943897;2.24352427099944e-89;9.97385163227483e-06;0.00124388326577865;0.00692927903687912;1.07848773668436e-15;2.82248480396375e-19;2.18208789747688e-72;NA;2.98121634468992e-65;4.85480303001194e-27;0.0495117432734708;3.85953183939743e-51;4.36318521595053e-16;2.65126556725245e-32;4.52543135476819e-06;4.04534406112157e-18;3.95871333334197e-06;2.55358276854474e-07;6.75239252995424e-19;NA;2.34570902686085e-06;NA;0.00392482670490016;5.15272351407236e-39;NA;7.96144373677908e-05;0.00418181440798699;6.813314399972e-09;0.562115843033654;NA;9.96024553356746e-66;7.63922058461312e-92;NA;9.55364806742171e-37;NA;5.54157791728951e-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.35636670823624e-05;6.02990303887082e-126;0.000262471439289172;1.81398802377419e-51;1.65849584412533e-05;8.23208412137241e-47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH070TGRh";709510;269793;"NAWA TREND";"RheinabBS";0.545289775178031;20.3060505419049;-0.774416302438116;2;0.5286174;313.313271560862;0.0361015389785767;3.88606803130845;0.00171610384929437;0.32600065954574;8.24087535140685e-26;0.0781547186865274;1.08661419468644e-27;5.14906615699651e-56;0.000188792613195616;0.0505681001646673;4.09138208898311e-78;2.26909626801598e-10;NA;4.07361156571778e-316;1.61617411006914e-16;0.00422079106104023;0.00858674630705891;2.75925685754077e-29;4.92143747712265e-47;3.15880940749101e-99;0.00572011317378756;3.10156593846405e-51;5.65356289600263e-12;1.92474101693427e-28;0.000448984746246236;2.6745410959898e-05;1.19359315380634e-35;NA;1.73553799112947e-66;NA;4.82404226711344e-05;8.47241542283026e-47;1.18787681651184e-72;NA;NA;0.000383727349708302;1.13450611141139e-86;4.20403637342997e-10;7.71465793024806e-14;1.45557425430899e-64;4.32838264620614e-76;8.5534145140726e-72;8.4142590302524e-07;NA;0.00355305874729002;6.61912088877669e-20;0.0899328618486222;0.000526099880556037;8.30440217743785e-08;5.41501874463371e-13;4.35055401580643e-28;2.98418999745733e-12;1.86524464135469e-05;2.94693420765437e-47;0.00419040439890898;NA;3.6878469206216e-90;NA;3.12701110165137e-29;3.43855477719192e-73;NA;0.000950300083052695;1.30709770760388e-101;0.0072149105969842;0.562319244552961;NA;1.33853849863512e-44;2.09962914173342e-59;NA;2.14235437014602e-05;NA;2.14085862948882e-30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3438196169458e-12;2.57120818755995e-103;1.94134499200223e-05;0.000188129226933867;0.000100176900594619;4.66798016787028e-21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
