"","Classes","Values","Chironomidae","Simuliidae","Limoniidae","Baetisrhodani","Baetisalpinus","Empididae","Ceratopogonidae","Elmidae","Nemouramortoni","Baetismuticus","Drususdiscolor","Protonemuralateralis","Athericidae","Gammaridae","Rhyacophilatristis","Planariidae","Leuctrabraueri","Nemouraminima","Hydraenidae","Ecdyonurushelveticus","Sericostoma","Habroleptoidesconfusa","Scirtidae","Brachypterarisi","Sphaeriidae","Blephariceridae","Odontocerumalbicorne","Leuctranigra","Tipulidae","Cryptothrixnebulicola","Drususannulatus","Dixidae","Rhithrogenaloyolaea","Drususbiguttatus","Metanoeaflavipennis","Ecdyonurusvenosus","Habrophlebialauta","Stratiomyidae","Potamophylaxcingulatus","Protonemurabrevistyla","Leuctramajor","Protonemuraintricata","Philopotamusludificatus","Metanoearhaetica","Rhithrogenaputhzi","Centroptilumluteolum","Epeorusalpicola","Hydropsychesiltalai","Epeorusassimilis","Rhyacophilaintermedia","Baetislutheri","Rhithrogenapicteti","Rhithrogenaalpestris","Ephemeradanica","Dugesiidae","Protonemuranimborum","Paraleptophlebiasubmarginata","Ecdyonuruspicteti","Dytiscidae","Lymnaeidae","Habroleptoidesauberti","Isoperlagrammatica","Rhyacophilahirticornis","Isoperlarivulorum","Capnioneuranemuroides","Chloroperlasusemicheli","Melampophylaxmucoreus","Rhyacophilapubescens","Ecclisopteryxmadida","Erpobdellidae","Leuctrahippopus","Thaumaleidae","Nemouraflexuosa","Cordulegastridae","Allogamusauricollis","Drususmelanchaetes","Electrogenaujhelyii","Ecdyonurusalpinus","Siphonoperlatorrentium","Sialidae","Hydropsychetenuis","Perlagrandis","Chaetopteryxvillosa","Serratellaignita","Rhithrogenahybrida","Hydroptila","Rhithrogenadegrangei","Siphonoperlamontana","Glossiphoniidae","Leuctraschmidi","Hydrophilidae","Nemouramarginata","Ecdyonurustorrentis","Rhithrogenanivata","Amphinemurasulcicollis","Dictyogenusalpinus","Hydropsycheinstabilis","Drususmuelleri","Rhyacophilaglareosa","Ephemerellamucronata","Ptychopteridae","Rhithrogenasemicolorata","Silopallipes","Perlamarginata","Tabanidae","Calopterygidae","Leuctrainermis","Rhithrogenadorieri","Rhithrogenagratianopolitana","Nemurellapictetii","Rhyacophilapraemorsa","Drususnigrescens","Consorophylaxconsors","Melampophylaxmelampus","Rhyacophilatorrentium","Rhagionidae","Gyrinidae","Leuctrarosinae","Drususmonticola","Electrogenalateralis","Amphinemuratriangularis","Rhithrogenagrischuna","Brachypteraseticornis","Rhyacophilastigmatica","Rhyacophilarectispina","Chloroperlatripunctata","Caenismacrura","Baetisvernus","Tinodesunicolor","Torleyamajor","Drususalpinus","Ecclisopteryxguttulata","Protonemurapraecox","Silonigricornis","Haliplidae","Stenophylaxpermistus","Micropternasequax","Protonemuraauberti","Niphargidae","Veliidae","Micrasemamorosum","Isoperlacarbonaria","Dictyogenusfontium","Catagapetusnigrans","Psychomyiapusilla","Nemouracinerea","Anisogamusdifformis","Glyphotaeliuspellucidus","Platycnemididae","Dolichopodidae","Leuctrarauscheri","Leuctraarmata","Hydropsychedinarica","Lithaxniger","Piscicolidae","Dendrocoelidae","Hydropsycheincognita","Protonemurameyeri","Rhyacophilafasciata","Plectrocnemiaconspersa","Baetisvardarensis","Corixidae","Syrphidae","Drususmixtus","Limnephiluslunatus","Micropternatestacea","Philopotamusvariegatus","Baetismelanonyx","Baetisbuceratus","Osmylidae","Coenagrionidae","Gerridae","Caenisluctuosa","Scathophagidae","Nemouracambrica","Hydropsycheangustipennis","Psephenidae","Siphlonuruslacustris","Ptilocolepusgranulatus","Rhabdiopteryxneglecta","Isoperlalugens","Synagapetusdubitans","Bithyniidae","Astacidae","Potamopyrgusantipodarum","Rhithrogenalandai","Tinodeswaeneri","Rhyacophiladorsalis","Rhyacophilaaquitanica","Nemourasinuata","Cloeondipterum","Habrophlebiafusca","Gomphidae","Caenishoraria","Sciomyzidae","Drususchrysotus","Chaetopteryxmajor","Potamophylaxnigricornis","Micropternanycterobia","Pseudopsilopteryxzimmeri","Enoicylapusilla","Leuctrapseudosignifera","Rhithrogenaallobrogica","Rhithrogenasavoiensis","Rhithrogenabeskidensis","Protonemuranimborella","Besdolusimhoffi","Heptageniasulphurea","Silopiceus","Synagapetusiridipennis","Baetisniger","Baetisnexus","Valvatidae","Aphelocheiridae","Dryopidae","Ephydridae","Notidobiaciliaris","Goerapilosa","Baetisliebenauae","Habrophlebiaeldae","Caenisrivulorum","Beraeapullata","Cheumatopsychelepida","Micrasemasetiferum","Diplectronaatra","Chaoboridae","Potamanthusluteus","Rhithrogenacarpatoalpina","Rhyacophilasimulatrix","Rhyacophilalaevis","Nemouraavicularis","Glossosomaconformis","Wormaldiacopiosa","Protonemuranitida","Protonemurarisi","Ithytrichia","Baetisnubecularis","Holocentropus","Mesoveliidae","Curculionidae","Corbiculidae","Nepidae","Libellulidae","Aeshnidae","Beraeamyiasquamosa","Hydropsychepellucidula","Hydropsychesaxonica","Hydropsychecontubernalis","Rhithrogenapuytoraci","Wormaldiaoccipitalis","Rhabdiopteryxalpina","Chimarramarginata","Baetisfuscatus","Baetisscambus","Cyrnustrimaculatus","Psychomyiafragilis","Dreissenidae","Cambaridae","Beraeamaurus","Capniavidua","Chrysomelidae","Pleidae","Acroloxidae","Mysidae","Cylindrotomidae","Naucoridae"
"1","feedingtype_gra",1,0.698393053591073,0.288888888888889,1,1,1,0,0,1,0.142857142857143,1,0.2,0.6,0,0.21952380952381,0.125,0,0.75,0,0.984567901234568,1,0,0,0,1,0,1,0.75,0.75,0,0.5,1,0,1,0.776388888888889,1,1,0.25,1,0.333333333333333,0.6,0.75,0.595031055900621,0,1,1,1,1,0.4,1,0,1,1,1,0,0,0.6,0,1,0,0.958333333333333,0,0.142857142857143,0,0.142857142857143,0.333333333333333,0.166666666666667,1,0,1,0,0.75,1,0,1,1,1,1,1,0.166666666666667,0,0.4,0.111111111111111,0.472222222222222,1,1,1,1,0.166666666666667,0,0.75,0.900925925925926,0,1,1,0.75,1,0.4,0.5,0,1,0,1,1,0.111111111111111,0,0,0.75,1,1,0.5,0,1,0.333333333333333,0.333333333333333,0,0,0,0.75,1,1,0.6,1,1,0,0,0.166666666666667,0,1,1,1,0.111111111111111,1,0.595031055900621,1,0.739902998236332,0,0.333333333333333,0.6,0,0,1,0,0.142857142857143,1,1,0.197619047619048,1,0.166666666666667,1,1,0.75,0.75,0.4,1,0,0,0.4,0.6,0.125,0,1,0.166666666666667,0,0.776388888888889,0.4,0.333333333333333,0,1,1,0,0,0,0,1,0,0.4,1,0,0.333333333333333,0.325,0.142857142857143,1,0.6,0,0.666666666666667,1,1,0.125,0.125,0,1,0.25,0,0,1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.75,1,1,1,0.6,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0.333333333333333,0.4,1,0.4,0,0,1,0.125,0,0,1,0,0.6,0.6,1,1,0,1,1,1,0,0,0,1,0.4,0.4,0.4,1,0,0.333333333333333,0,1,1,0,1,0,0,0.428571428571429,0.318518518518518,0,0,1,0,0,0
"2","feedingtype_min",1,0.373015873015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904545454545455,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","feedingtype_xyl",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","feedingtype_shr",1,0.556704260651629,0,0.8,0,0,0,0,0.125,0.285714285714286,0,0,1,0,0.876190476190476,0.125,0,0.75,1,0.8125,0,1,0,1,0,0,0,0.75,0.75,1,0,0.125,0,0,0.269230769230769,0.125,0,0,0,1,1,0.75,0.992236024844721,0,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.740740740740741,0,0.142857142857143,0,0.142857142857143,1,0.166666666666667,0.125,0,0.125,0,0.75,0,1,1,0.666666666666667,0.125,0,0,0.166666666666667,0,0,0,1,0,0,0,0,0.166666666666667,0,0.75,0.732568027210884,1,0,0,0.75,1,0,0,0,0,1,0,0,0,0,0,0.75,0,0,1,0,0.125,1,1,0,0,0,0.75,0.125,0,0.4,0,0,0,0,0.166666666666667,0,0,0,0,1,0.125,0.992236024844721,0,0.5,1,1,1,1,0,1,0,0.142857142857143,0,0,0.985714285714286,1,1,1,1,0.75,0.75,0,0,0,0,0,1,0.416666666666667,0,0,0,0,0.269230769230769,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0.142857142857143,0,0,0,0.666666666666667,0,0,0.416666666666667,0.416666666666667,1,0,0,0,0,1,0,1,1,1,1,0,0.75,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,0.916666666666667,0,0,0,0,0.416666666666667,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.98,1,0,0,0,1,0
"5","feedingtype_gat",1,0.662917869167869,0,0.688311688311688,1,1,0,1,0.343962585034014,1,1,0,0.4,0,0.595238095238095,0,0,1,0.428571428571429,0.928571428571429,1,0,1,0,0.428571428571429,0,0,0,1,0.555555555555556,0,0.125,1,0,0.125,0.125,1,1,0.914285714285714,0,0.4,1,0.406521739130435,0,0.125,0,0.428571428571429,0.25,0,0,0,1,0,0,0.428571428571429,0,0.4,1,1,0,0.6875,1,0.142857142857143,0,0.142857142857143,0.333333333333333,0.333333333333333,0,0,0.125,0,1,0,0.428571428571429,1,0,0.125,1,0,0.333333333333333,0,0,0,0.5,1,0,1,0,0.333333333333333,0,1,0.929059829059829,0.428571428571429,1,0,1,1,0,0,0,1,1,0,0.111111111111111,0,1,0,1,0,0,1,0,0.125,0,0,0,0,0,1,0.125,1,1,0,0.428571428571429,0,0,0.333333333333333,1,1,0.125,1,0,0.125,0.406521739130435,0.111111111111111,0.333333333333333,1,0,0.4,1,0,0,0,0.142857142857143,0.25,0.333333333333333,0.458608058608059,1,0,1,1,1,1,0,0.111111111111111,0,0,0,0.4,0,0,1,1,1,0.125,0,0,0,1,1,0,0,0,1,1,0.428571428571429,0.125,1,1,0.333333333333333,0.4,0.142857142857143,0.25,0.4,0.75,1,0,0.126623376623377,0,0,0.428571428571429,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0.4,0,1,0.111111111111111,0.25,1,1,1,0,0.892857142857143,1,0,0.111111111111111,1,1,1,1,0,1,0,0,1,0,0,0,0.428571428571429,0.25,0,0.4,0.4,0,1,0,1,1,1,0,0,0,1,0,0,0.125,0,0,0.333333333333333,0,1,1,0,0.125,0,0.75,0,0.466666666666667,0,0,0,1,0,0
"6","feedingtype_aff",1,0.409371938075642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7","feedingtype_pff",1,0.861111111111111,1,0,0,0,0,0,0,0,0,0.8,0,0,1,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.933333333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0.111111111111111,0,0.166666666666667,0,0.933333333333333,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.126623376623377,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.111111111111111,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0.111111111111111,0.125,1,0,0,0,0,0,0,0,0,0
"8","feedingtype_pre",1,0.731596638655462,0,1,0,0,1,1,0,0,0,1,0,1,0.494708994708995,1,1,0,0,1,0,0.111111111111111,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0.125,1,0,1,0,0,0,1,0.666666666666667,0,0,0,1,1,0.6,1,0.305555555555556,0,0,1,0,1,1,0,0.958823529411765,0,0,0,0,1,0.6,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.712471655328798,0,0.333333333333333,0,0,0.755102040816326,0,1,1,0,0.166666666666667,0,1,0.5,1,1,0,0,0.6,0,0,1,0.6,0,1,1,0,0.333333333333333,0,1,0.6,0.333333333333333,0,0,0,1,1,1,0,1,0,0.575,1,0,0,0,1,0,0,0.75,0,0,0.142857142857143,1,1,0,0,0,1,0,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6,0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.6,0.6,0.575,0,0,0,0,0,0,1,0,0,0.75,0,0,0,1,0,1,0,1
"9","feedingtype_par",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","feedingtype_other",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.546666666666667,0,0,0,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202448210922787,0.574074074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
