"","Classes","Values","Chironomidae","Simuliidae","Limoniidae","Baetisrhodani","Baetisalpinus","Empididae","Ceratopogonidae","Elmidae","Nemouramortoni","Baetismuticus","Drususdiscolor","Protonemuralateralis","Athericidae","Gammaridae","Rhyacophilatristis","Planariidae","Leuctrabraueri","Nemouraminima","Hydraenidae","Ecdyonurushelveticus","Sericostoma","Habroleptoidesconfusa","Scirtidae","Brachypterarisi","Sphaeriidae","Blephariceridae","Odontocerumalbicorne","Leuctranigra","Tipulidae","Cryptothrixnebulicola","Drususannulatus","Dixidae","Rhithrogenaloyolaea","Drususbiguttatus","Metanoeaflavipennis","Ecdyonurusvenosus","Habrophlebialauta","Stratiomyidae","Potamophylaxcingulatus","Protonemurabrevistyla","Leuctramajor","Protonemuraintricata","Philopotamusludificatus","Metanoearhaetica","Rhithrogenaputhzi","Centroptilumluteolum","Epeorusalpicola","Hydropsychesiltalai","Epeorusassimilis","Rhyacophilaintermedia","Baetislutheri","Rhithrogenapicteti","Rhithrogenaalpestris","Ephemeradanica","Dugesiidae","Protonemuranimborum","Paraleptophlebiasubmarginata","Ecdyonuruspicteti","Dytiscidae","Lymnaeidae","Habroleptoidesauberti","Isoperlagrammatica","Rhyacophilahirticornis","Isoperlarivulorum","Capnioneuranemuroides","Chloroperlasusemicheli","Melampophylaxmucoreus","Rhyacophilapubescens","Ecclisopteryxmadida","Erpobdellidae","Leuctrahippopus","Thaumaleidae","Nemouraflexuosa","Cordulegastridae","Allogamusauricollis","Drususmelanchaetes","Electrogenaujhelyii","Ecdyonurusalpinus","Siphonoperlatorrentium","Sialidae","Hydropsychetenuis","Perlagrandis","Chaetopteryxvillosa","Serratellaignita","Rhithrogenahybrida","Hydroptila","Rhithrogenadegrangei","Siphonoperlamontana","Glossiphoniidae","Leuctraschmidi","Hydrophilidae","Nemouramarginata","Ecdyonurustorrentis","Rhithrogenanivata","Amphinemurasulcicollis","Dictyogenusalpinus","Hydropsycheinstabilis","Drususmuelleri","Rhyacophilaglareosa","Ephemerellamucronata","Ptychopteridae","Rhithrogenasemicolorata","Silopallipes","Perlamarginata","Tabanidae","Calopterygidae","Leuctrainermis","Rhithrogenadorieri","Rhithrogenagratianopolitana","Nemurellapictetii","Rhyacophilapraemorsa","Drususnigrescens","Consorophylaxconsors","Melampophylaxmelampus","Rhyacophilatorrentium","Rhagionidae","Gyrinidae","Leuctrarosinae","Drususmonticola","Electrogenalateralis","Amphinemuratriangularis","Rhithrogenagrischuna","Brachypteraseticornis","Rhyacophilastigmatica","Rhyacophilarectispina","Chloroperlatripunctata","Caenismacrura","Baetisvernus","Tinodesunicolor","Torleyamajor","Drususalpinus","Ecclisopteryxguttulata","Protonemurapraecox","Silonigricornis","Haliplidae","Stenophylaxpermistus","Micropternasequax","Protonemuraauberti","Niphargidae","Veliidae","Micrasemamorosum","Isoperlacarbonaria","Dictyogenusfontium","Catagapetusnigrans","Psychomyiapusilla","Nemouracinerea","Anisogamusdifformis","Glyphotaeliuspellucidus","Platycnemididae","Dolichopodidae","Leuctrarauscheri","Leuctraarmata","Hydropsychedinarica","Lithaxniger","Piscicolidae","Dendrocoelidae","Hydropsycheincognita","Protonemurameyeri","Rhyacophilafasciata","Plectrocnemiaconspersa","Baetisvardarensis","Corixidae","Syrphidae","Drususmixtus","Limnephiluslunatus","Micropternatestacea","Philopotamusvariegatus","Baetismelanonyx","Baetisbuceratus","Osmylidae","Coenagrionidae","Gerridae","Caenisluctuosa","Scathophagidae","Nemouracambrica","Hydropsycheangustipennis","Psephenidae","Siphlonuruslacustris","Ptilocolepusgranulatus","Rhabdiopteryxneglecta","Isoperlalugens","Synagapetusdubitans","Bithyniidae","Astacidae","Potamopyrgusantipodarum","Rhithrogenalandai","Tinodeswaeneri","Rhyacophiladorsalis","Rhyacophilaaquitanica","Nemourasinuata","Cloeondipterum","Habrophlebiafusca","Gomphidae","Caenishoraria","Sciomyzidae","Drususchrysotus","Chaetopteryxmajor","Potamophylaxnigricornis","Micropternanycterobia","Pseudopsilopteryxzimmeri","Enoicylapusilla","Leuctrapseudosignifera","Rhithrogenaallobrogica","Rhithrogenasavoiensis","Rhithrogenabeskidensis","Protonemuranimborella","Besdolusimhoffi","Heptageniasulphurea","Silopiceus","Synagapetusiridipennis","Baetisniger","Baetisnexus","Valvatidae","Aphelocheiridae","Dryopidae","Ephydridae","Notidobiaciliaris","Goerapilosa","Baetisliebenauae","Habrophlebiaeldae","Caenisrivulorum","Beraeapullata","Cheumatopsychelepida","Micrasemasetiferum","Diplectronaatra","Chaoboridae","Potamanthusluteus","Rhithrogenacarpatoalpina","Rhyacophilasimulatrix","Rhyacophilalaevis","Nemouraavicularis","Glossosomaconformis","Wormaldiacopiosa","Protonemuranitida","Protonemurarisi","Ithytrichia","Baetisnubecularis","Holocentropus","Mesoveliidae","Curculionidae","Corbiculidae","Nepidae","Libellulidae","Aeshnidae","Beraeamyiasquamosa","Hydropsychepellucidula","Hydropsychesaxonica","Hydropsychecontubernalis","Rhithrogenapuytoraci","Wormaldiaoccipitalis","Rhabdiopteryxalpina","Chimarramarginata","Baetisfuscatus","Baetisscambus","Cyrnustrimaculatus","Psychomyiafragilis","Dreissenidae","Cambaridae","Beraeamaurus","Capniavidua","Chrysomelidae","Pleidae","Acroloxidae","Mysidae","Cylindrotomidae","Naucoridae"
"1","tempmaxtolval_class1",3,0.3778,1,0.9402,0.2787,0.7838,1,0.5864,0.0426,0.5462,0.502,0.9,0,1,0.02,0.2222,1,0.2959,0.0369,0.2827,0.1111,1,0.2,1,0,1,1,1,0.4648,1,0.9,0.9,1,1,0.9,0.9,0.6667,0,1,0.9,0,0.2234,0.7623,1,0.9,0,0.5714,0.1111,0.35,0,0.9973,0.1667,0.8889,0.75,0.5,1,0,0.1667,1,1,1,0.2,1,0.9897,0,0,0.8,0.9,0.0734,0.9,1,0.047,1,0.0439,1,1,0.9,0.4167,0,1,1,0.35,0,1,0.5,0.75,0,1,1,1,0.3864,1,0.0444,0.75,0.6978,0.1667,1,0.5,0.9,0.0426,0.6667,1,0.6667,0.1667,0,1,1,0.0547,0.6978,0.6978,1,0.0385,0.9,0.9,0.9,0,1,1,0.6173,1,0.3333,0,0,0,0,0.0486,0,0,0,0,0.2857,0.9,0.9,0.7623,0,1,0.9,0.9,1,1,1,0,0.6,1,0,0,0.9375,1,0,1,1,0,0.0582,0.35,0.1667,1,1,0.35,0.1667,0,1,0.8416,1,1,0.9,0,0.9,1,0.5,0,1,1,1,0,1,0,0.35,1,0.6,0,1,0,0,1,1,1,0.6978,0,0,0,1,0,0.2857,1,0,1,0.9,1,0.9,0.9,0.9,0.9,0,0.6978,0,0.6978,0,0,0,0.1667,0,0,0.5,1,1,1,1,1,0.1667,0,0,0.1429,1,0.35,0,0.35,1,0,0.6978,0,0,0,0,1,1,0,0,0.6354,1,1,1,1,1,1,1,1,0,0.35,0.35,0,1,1,1,0,0,1,0,1,1,1,0.9333,1,1,1,1,1,1
"2","tempmaxtolval_class2",3.66000000000003,0.3871,1,0.9414,0.3486,0.831,1,0.6451,0.0879,0.6515,0.5637,0.9192,0.23,1,0.0738,0.2925,1,0.4393,0.2261,0.3112,0.3114,1,0.2116,1,0.0704,1,1,1,0.5709,1,0.9192,0.9192,1,1,0.9192,0.9192,0.6901,0.0033,1,0.9192,0.23,0.376,0.8124,1,0.9192,0.23,0.5855,0.3197,0.3584,0.0223,0.9983,0.281,0.9103,0.8075,0.5,1,0.23,0.2064,1,1,1,0.3038,1,0.9933,0.2206,0.2206,0.8686,0.9192,0.2544,0.9192,1,0.0449,1,0.1772,1,1,0.9192,0.4358,0.23,1,1,0.3584,0.2206,1,0.5164,0.8075,0.23,0.9884,1,1,0.5346,1,0.2137,0.7981,0.7233,0.3521,1,0.5352,0.9077,0.1853,0.6667,1,0.6901,0.3521,0.1923,1,1,0.2406,0.7233,0.7233,1,0.1886,0.9192,0.9192,0.9192,0.1986,1,1,0.7267,1,0.3333,0.1421,0.2049,0.2112,0.1986,0.2079,0.1421,0.0223,0.0223,0.0658,0.2893,0.9192,0.9192,0.8124,0.004,1,0.9192,0.9192,0.8718,1,1,0.1923,0.6619,1,0,0.0658,0.9561,1,0,1,1,0.23,0.2697,0.3584,0.2418,1,1,0.3584,0.3458,0.1986,1,0.8721,1,1,0.9192,0,0.9192,1,0.5962,0,1,1,1,0.0116,1,0.2139,0.3584,1,0.6769,0.23,1,0.23,0,1,1,1,0.7233,0.0658,0.1986,0.1986,0.8077,0.024,0.2893,1,0,1,0.9192,1,0.9192,0.9192,0.9192,0.9192,0.1923,0.7233,0.0145,0.7233,0.2206,0.1923,0.0116,0.2418,0,0.1923,0.5072,1,1,1,1,1,0.2418,0.0704,0.0028,0.1429,1,0.3584,0.1923,0.3584,1,0.0033,0.7233,0.1986,0.1986,0.1923,0,1,1,0.1923,0.23,0.6469,1,1,1,1,1,1,1,1,0.0704,0.3584,0.3584,0,1,1,1,0.2017,0.0028,1,0.0658,1,1,1,0.9503,1,1,1,1,1,1
"3","tempmaxtolval_class3",4.31,0.3972,1,0.9429,0.4151,0.8734,1,0.7008,0.1318,0.7434,0.6222,0.9378,0.4316,1,0.1269,0.3594,1,0.5732,0.4062,0.3412,0.4887,1,0.2288,1,0.1386,1,1,1,0.6715,1,0.9378,0.9378,1,1,0.9378,0.9378,0.7129,0.0125,1,0.9378,0.4316,0.5212,0.8546,1,0.9378,0.4316,0.6009,0.5007,0.3702,0.0499,0.9989,0.3911,0.9308,0.8579,0.5,1,0.4316,0.2468,1,1,1,0.4023,1,0.9959,0.4181,0.4181,0.9187,0.9378,0.4272,0.9378,1,0.0434,1,0.3037,1,1,0.9378,0.4568,0.4316,1,1,0.3702,0.4181,1,0.5344,0.8579,0.4316,0.9712,1,1,0.6613,1,0.3758,0.8444,0.7473,0.5173,1,0.5693,0.9151,0.321,0.6667,1,0.7129,0.5173,0.3775,1,1,0.4174,0.7473,0.7473,1,0.3316,0.9378,0.9378,0.9378,0.3865,1,1,0.8131,1,0.3333,0.2769,0.3955,0.4045,0.3865,0.3602,0.2769,0.0499,0.0499,0.1281,0.299,0.9378,0.9378,0.8546,0.015,1,0.9378,0.9378,0.7483,1,1,0.3775,0.7209,1,0,0.1281,0.9705,1,0,1,1,0.4316,0.4574,0.3702,0.3133,1,1,0.3702,0.5083,0.3865,1,0.9014,1,1,0.9378,0,0.9378,1,0.6888,0,1,1,1,0.0288,1,0.4084,0.3702,1,0.751,0.4316,1,0.4316,0,1,1,1,0.7473,0.1281,0.3865,0.3865,0.6225,0.0472,0.299,1,0,1,0.9378,1,0.9378,0.9378,0.9378,0.9378,0.3775,0.7473,0.036,0.7473,0.4181,0.3775,0.0288,0.3133,0,0.3775,0.518,1,1,1,1,1,0.3133,0.1386,0.0107,0.1429,1,0.3702,0.3775,0.3702,1,0.0125,0.7473,0.3865,0.3865,0.3775,0,1,1,0.3775,0.4316,0.6592,1,1,1,1,1,1,1,1,0.1386,0.3702,0.3702,0,1,1,1,0.391,0.0107,1,0.1281,1,1,1,0.9645,1,1,1,1,1,1
"4","tempmaxtolval_class4",4.97000000000003,0.4081,1,0.9448,0.4796,0.9117,1,0.7539,0.1755,0.8238,0.6783,0.9554,0.6086,1,0.1807,0.4247,1,0.6976,0.5761,0.3736,0.646,1,0.2514,1,0.2066,1,1,1,0.7659,1,0.9554,0.9554,1,1,0.9554,0.9554,0.7355,0.0271,1,0.9554,0.6086,0.6582,0.8904,1,0.9554,0.6086,0.6182,0.6582,0.3854,0.0832,0.9994,0.4959,0.9504,0.9022,0.5,1,0.6086,0.2892,1,1,1,0.4964,1,0.9977,0.5949,0.5949,0.9546,0.9554,0.5906,0.9554,1,0.0423,1,0.4244,1,1,0.9554,0.4804,0.6086,1,1,0.3854,0.5949,1,0.5546,0.9022,0.6086,0.9486,1,1,0.7701,1,0.5301,0.8885,0.7697,0.6647,1,0.6033,0.9222,0.4504,0.6667,1,0.7355,0.6647,0.5538,1,1,0.5841,0.7697,0.7697,1,0.4678,0.9554,0.9554,0.9554,0.563,1,1,0.8813,1,0.3333,0.4056,0.5721,0.5812,0.563,0.5051,0.4056,0.0832,0.0832,0.1882,0.3144,0.9554,0.9554,0.8904,0.0324,1,0.9554,0.9554,0.6308,1,1,0.5538,0.7771,1,0,0.1882,0.9817,1,0,1,1,0.6086,0.624,0.3854,0.3814,1,1,0.3854,0.6556,0.563,1,0.9293,1,1,0.9554,0,0.9554,1,0.7769,0,1,1,1,0.0514,1,0.5852,0.3854,1,0.8215,0.6086,1,0.6086,0,1,1,1,0.7697,0.1882,0.563,0.563,0.4462,0.0692,0.3144,1,0,1,0.9554,1,0.9554,0.9554,0.9554,0.9554,0.5538,0.7697,0.0642,0.7697,0.5949,0.5538,0.0514,0.3814,0,0.5538,0.5321,1,1,1,1,1,0.3814,0.2066,0.0233,0.1429,1,0.3854,0.5538,0.3854,1,0.0271,0.7697,0.563,0.563,0.5538,0,1,1,0.5538,0.6086,0.6724,1,1,1,1,1,1,1,1,0.2066,0.3854,0.3854,0,1,1,1,0.5675,0.0233,1,0.1882,1,1,1,0.9763,1,1,1,1,1,1
"5","tempmaxtolval_class5",5.62,0.4196,1,0.9469,0.5396,0.9437,1,0.8016,0.2176,0.8893,0.7292,0.9709,0.7536,1,0.2338,0.4858,1,0.8045,0.7242,0.4073,0.776,1,0.2779,1,0.2723,1,1,1,0.8479,1,0.9709,0.9709,1,1,0.9709,0.9709,0.7574,0.0461,1,0.9709,0.7536,0.7776,0.9187,1,0.9709,0.7536,0.6367,0.786,0.403,0.1204,0.9997,0.5879,0.9676,0.9384,0.5,1,0.7536,0.3322,1,1,1,0.5815,1,0.9989,0.7424,0.7424,0.9777,0.9709,0.7333,0.9709,1,0.0416,1,0.533,1,1,0.9709,0.5054,0.7536,1,1,0.403,0.7424,1,0.5761,0.9384,0.7536,0.9221,1,1,0.8573,1,0.6664,0.9272,0.7891,0.7872,1,0.6361,0.9283,0.5661,0.6667,1,0.7574,0.7872,0.7087,1,1,0.7294,0.7891,0.7891,1,0.5892,0.9709,0.9709,0.9709,0.7162,1,1,0.9312,1,0.3333,0.5212,0.7237,0.7312,0.7162,0.6336,0.5212,0.1204,0.1204,0.2433,0.334,0.9709,0.9709,0.9187,0.0548,1,0.9709,0.9709,0.5276,1,1,0.7087,0.8272,1,0,0.2433,0.9896,1,0,1,1,0.7536,0.7619,0.403,0.4423,1,1,0.403,0.7797,0.7162,1,0.9538,1,1,0.9709,0,0.9709,1,0.8543,0,1,1,1,0.0779,1,0.7344,0.403,1,0.8835,0.7536,1,0.7536,0,1,1,1,0.7891,0.2433,0.7162,0.7162,0.2913,0.0886,0.334,1,0,1,0.9709,1,0.9709,0.9709,0.9709,0.9709,0.7087,0.7891,0.0974,0.7891,0.7424,0.7087,0.0779,0.4423,0,0.7087,0.5487,1,1,1,1,1,0.4423,0.2723,0.0397,0.1429,1,0.403,0.7087,0.403,1,0.0461,0.7891,0.7162,0.7162,0.7087,0,1,1,0.7087,0.7536,0.6863,1,1,1,1,1,1,1,1,0.2723,0.403,0.403,0,1,1,1,0.7199,0.0397,1,0.2433,1,1,1,0.9856,1,1,1,1,1,1
"6","tempmaxtolval_class6",6.28000000000003,0.4319,1,0.9493,0.5965,0.9696,1,0.844,0.2593,0.9412,0.7755,0.9839,0.8687,1,0.2876,0.5444,1,0.8931,0.8483,0.4433,0.88,1,0.3085,1,0.3375,1,1,1,0.9165,1,0.9839,0.9839,1,1,0.9839,0.9839,0.7792,0.0692,1,0.9839,0.8687,0.8777,0.9403,1,0.9839,0.8687,0.6567,0.8866,0.4231,0.1622,0.9999,0.6655,0.9821,0.9672,0.5,1,0.8687,0.3771,1,1,1,0.6584,1,0.9996,0.8614,0.8614,0.9914,0.9839,0.8533,0.9839,1,0.0411,1,0.6298,1,1,0.9839,0.5327,0.8687,1,1,0.4231,0.8614,1,0.5995,0.9672,0.8687,0.8915,1,1,0.925,1,0.7831,0.9598,0.8052,0.8857,1,0.6687,0.9336,0.6681,0.6667,1,0.7792,0.8857,0.8393,1,1,0.8513,0.8052,0.8052,1,0.6954,0.9839,0.9839,0.9839,0.8442,1,1,0.9664,1,0.3333,0.6239,0.8491,0.854,0.8442,0.7446,0.6239,0.1622,0.1622,0.2946,0.3575,0.9839,0.9839,0.9403,0.082,1,0.9839,0.9839,0.4405,1,1,0.8393,0.8711,1,0,0.2946,0.9951,1,0,1,1,0.8687,0.8724,0.4231,0.4959,1,1,0.4231,0.8808,0.8442,1,0.9745,1,1,0.9839,0,0.9839,1,0.9197,0,1,1,1,0.1085,1,0.8561,0.4231,1,0.9357,0.8687,1,0.8687,0,1,1,1,0.8052,0.2946,0.8442,0.8442,0.1607,0.1049,0.3575,1,0,1,0.9839,1,0.9839,0.9839,0.9839,0.9839,0.8393,0.8052,0.1356,0.8052,0.8614,0.8393,0.1085,0.4959,0,0.8393,0.5678,1,1,1,1,1,0.4959,0.3375,0.0599,0.1429,1,0.4231,0.8393,0.4231,1,0.0692,0.8052,0.8442,0.8442,0.8393,0,1,1,0.8393,0.8687,0.7011,1,1,1,1,1,1,1,1,0.3375,0.4231,0.4231,0,1,1,1,0.8467,0.0599,1,0.2946,1,1,1,0.9926,1,1,1,1,1,1
"7","tempmaxtolval_class7",6.93000000000001,0.4446,1,0.9519,0.6479,0.9879,1,0.8786,0.2994,0.9768,0.8149,0.9935,0.9482,1,0.3407,0.5983,1,0.9568,0.9384,0.4802,0.9524,1,0.3414,1,0.4002,1,1,1,0.9662,1,0.9935,0.9935,1,1,0.9935,0.9935,0.8001,0.0952,1,0.9935,0.9482,0.9503,0.9548,1,0.9935,0.9482,0.6776,0.9555,0.4448,0.2068,1,0.7222,0.9927,0.9871,0.5,1,0.9482,0.4226,1,1,1,0.7229,1,0.9999,0.9448,0.9448,0.9978,0.9935,0.9404,0.9935,1,0.041,1,0.7093,1,1,0.9935,0.5612,0.9482,1,1,0.4448,0.9448,1,0.6239,0.9871,0.9482,0.8586,1,1,0.9708,1,0.871,0.9836,0.8169,0.9546,1,0.7001,0.9374,0.75,0.6667,1,0.8001,0.9546,0.9346,1,1,0.9396,0.8169,0.8169,1,0.7793,0.9935,0.9935,0.9935,0.9368,1,1,0.9879,1,0.3333,0.7077,0.9391,0.9414,0.9368,0.8301,0.7077,0.2068,0.2068,0.3396,0.3832,0.9935,0.9935,0.9548,0.1121,1,0.9935,0.9935,0.377,1,1,0.9346,0.9059,1,0,0.3396,0.9983,1,0,1,1,0.9482,0.9494,0.4448,0.5388,1,1,0.4448,0.9523,0.9368,1,0.9896,1,1,0.9935,0,0.9935,1,0.9673,0,1,1,1,0.1414,1,0.9424,0.4448,1,0.9738,0.9482,1,0.9482,0,1,1,1,0.8169,0.3396,0.9368,0.9368,0.0654,0.1168,0.3832,1,0,1,0.9935,1,0.9935,0.9935,0.9935,0.9935,0.9346,0.8169,0.1768,0.8169,0.9448,0.9346,0.1414,0.5388,0,0.9346,0.5884,1,1,1,1,1,0.5388,0.4002,0.0827,0.1429,1,0.4448,0.9346,0.4448,1,0.0952,0.8169,0.9368,0.9368,0.9346,0,1,1,0.9346,0.9482,0.7164,1,1,1,1,1,1,1,1,0.4002,0.4448,0.4448,0,1,1,1,0.938,0.0827,1,0.3396,1,1,1,0.9972,1,1,1,1,1,1
"8","tempmaxtolval_class8",7.59000000000003,0.4581,1,0.9547,0.695,0.9982,1,0.9052,0.3391,0.9965,0.8475,0.999,0.9922,1,0.3945,0.6486,1,0.9934,0.9905,0.5193,0.9928,1,0.3771,1,0.4623,1,1,1,0.9948,1,0.999,0.999,1,1,0.999,0.999,0.8208,0.124,1,0.999,0.9922,0.9924,0.9626,1,0.999,0.9922,0.6999,0.9934,0.4683,0.2548,1,0.755,0.9989,0.9981,0.5,1,0.9922,0.47,1,1,1,0.7751,1,1,0.9917,0.9917,0.9999,0.999,0.9908,0.999,1,0.0409,1,0.771,1,1,0.999,0.5916,0.9922,1,1,0.4683,0.9917,1,0.6499,0.9981,0.9922,0.8229,1,1,0.9957,1,0.9272,0.9975,0.8236,0.9931,1,0.7311,0.9396,0.8108,0.6667,1,0.8208,0.9931,0.9899,1,1,0.9907,0.8236,0.8236,1,0.8395,0.999,0.999,0.999,0.9903,1,1,0.9984,1,0.3333,0.772,0.9907,0.9911,0.9903,0.8879,0.772,0.2548,0.2548,0.379,0.4109,0.999,0.999,0.9626,0.1453,1,0.999,0.999,0.3401,1,1,0.9899,0.931,1,0,0.379,0.9998,1,0,1,1,0.9922,0.9924,0.4683,0.5705,1,1,0.4683,0.9928,0.9903,1,0.9984,1,1,0.999,0,0.999,1,0.995,0,1,1,1,0.1771,1,0.9912,0.4683,1,0.996,0.9922,1,0.9922,0,1,1,1,0.8236,0.379,0.9903,0.9903,0.0101,0.1237,0.4109,1,0,1,0.999,1,0.999,0.999,0.999,0.999,0.9899,0.8236,0.2214,0.8236,0.9917,0.9899,0.1771,0.5705,0,0.9899,0.6107,1,1,1,1,1,0.5705,0.4623,0.1082,0.1429,1,0.4683,0.9899,0.4683,1,0.124,0.8236,0.9903,0.9903,0.9899,0,1,1,0.9899,0.9922,0.7326,1,1,1,1,1,1,1,1,0.4623,0.4683,0.4683,0,1,1,1,0.9905,0.1082,1,0.379,1,1,1,0.9996,1,1,1,1,1,1
"9","tempmaxtolval_class9",8.24000000000001,0.472,1,0.9577,0.7363,0.9996,1,0.9224,0.377,0.9984,0.872,1,0.9953,1,0.4482,0.6941,1,0.9995,0.9998,0.5601,0.9966,1,0.4153,1,0.5225,1,1,1,0.9998,1,1,1,1,0.9983,1,1,0.8408,0.1572,1,1,0.9953,0.9996,0.9626,1,1,0.9953,0.7235,0.9953,0.4933,0.306,0.9993,0.761,1,0.9994,0.5023,1,0.9953,0.5187,0.9953,1,1,0.8127,1,0.9991,0.997,0.997,0.9967,1,0.9999,1,1,0.0454,1,0.8118,1,1,1,0.6236,0.9953,1,1,0.4933,0.997,1,0.6774,0.9994,0.9953,0.7851,0.9953,1,0.9965,1,0.9472,1,0.8247,0.9972,1,0.7612,0.94,0.847,0.6682,1,0.8408,0.9972,1,1,1,0.9998,0.8247,0.8247,1,0.8721,1,1,1,0.9996,1,1,0.9956,1,0.3364,0.8134,0.9991,0.9982,0.9996,0.9138,0.8134,0.306,0.306,0.4111,0.4408,1,1,0.9626,0.1822,1,1,1,0.3333,1,1,1,0.9448,0.9953,0.0047,0.4111,0.9994,1,0.0047,1,1,0.9953,0.9965,0.4933,0.5891,1,1,0.4933,0.9983,0.9996,1,1,1,1,1,0.0047,1,1,1,0.0047,1,1,1,0.2149,1,0.998,0.4933,1,1,0.9953,0.9989,0.9953,0.0047,1,1,1,0.8247,0.4111,0.9996,0.9996,0,0.125,0.4408,1,0.0047,1,1,1,1,1,1,1,1,0.8247,0.2691,0.8247,0.997,1,0.2149,0.5891,0.0047,1,0.6346,1,1,1,1,1,0.5891,0.5225,0.1383,0.1469,1,0.4933,1,0.4933,1,0.1572,0.8247,0.9996,0.9996,1,0.0047,1,1,1,0.9953,0.7496,1,1,1,1,1,1,1,1,0.5225,0.4933,0.4933,0,1,0.9953,1,0.9988,0.1383,1,0.4111,1,1,1,0.9996,1,1,1,1,1,1
"10","tempmaxtolval_class10",8.90000000000003,0.4872,1,0.9621,0.7783,0.9952,1,0.9371,0.4148,0.9788,0.8948,1,0.9392,1,0.5087,0.7414,1,0.9926,0.997,0.6121,0.9557,1,0.4731,1,0.5897,1,1,1,0.9974,1,1,1,1,0.9779,1,1,0.8632,0.2253,1,1,0.9392,0.9949,0.9473,1,1,0.9392,0.7547,0.9392,0.5308,0.3788,0.991,0.761,1,0.9913,0.5304,1,0.9392,0.5784,0.9392,1,1,0.8467,1,0.9874,0.9603,0.9603,0.9564,1,0.998,1,1,0.0992,1,0.8471,1,1,1,0.6661,0.9392,1,1,0.5308,0.9603,1,0.7138,0.9913,0.9392,0.7316,0.9392,1,0.9547,1,0.9584,1,0.8233,0.9637,1,0.7948,0.94,0.8767,0.6869,1,0.8632,0.9637,1,1,1,0.9968,0.8233,0.8233,1,0.8975,1,1,1,0.9948,1,1,0.9423,1,0.3738,0.8488,0.9873,0.9761,0.9948,0.9315,0.8488,0.3788,0.3788,0.4386,0.4914,1,1,0.9473,0.2516,1,1,1,0.3333,1,1,1,0.9558,0.9392,0.0608,0.4386,0.9923,1,0.0608,1,1,0.9392,0.9548,0.5308,0.6042,1,1,0.5308,0.9779,0.9948,1,1,1,1,1,0.0608,1,1,1,0.0608,1,1,1,0.2684,1,0.9733,0.5308,1,1,0.9392,0.9851,0.9392,0.0608,1,1,1,0.8233,0.4386,0.9948,0.9948,0,0.125,0.4914,1,0.0608,1,1,1,1,1,1,1,1,0.8233,0.3414,0.8233,0.9603,1,0.2684,0.6042,0.0608,1,0.6707,1,1,1,1,1,0.6042,0.5897,0.2053,0.1949,1,0.5308,1,0.5308,1,0.2253,0.8233,0.9948,0.9948,1,0.0608,1,1,1,0.9392,0.7714,1,1,1,1,1,1,1,1,0.5897,0.5308,0.5308,0,1,0.9392,1,0.9848,0.2053,1,0.4386,1,1,1,0.9944,1,1,1,1,1,1
